host,model,backend,device,gpu_count,gpu_names,power_draw_w_mean,power_draw_w_std,util_gpu_percent_mean,util_gpu_percent_std,util_mem_percent_mean,util_mem_percent_std,mem_used_mb_mean,mem_used_mb_std,temp_c_mean,temp_c_std,duration_sec,num_samples,gpu_energy_j
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.250244,1.082223,3.804878,2.789815,0.642276,0.479330,1206.120000,0.000000,40.138211,1.114029,122.020,123,2592.955
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.613984,1.207841,2.691057,3.241324,0.398374,0.489563,1170.120000,0.000000,38.926829,0.947146,122.023,123,2515.380
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.120488,0.971217,1.910569,1.979604,0.471545,0.499190,1116.120000,0.000000,39.341463,0.844198,122.023,123,2333.139
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.405122,1.055200,2.861789,2.253544,0.617886,0.485904,1070.120000,0.000000,38.065041,1.286198,122.022,123,2489.874
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.775041,1.027326,3.130081,2.368353,0.617886,0.485904,1214.120000,0.000000,40.154472,0.910932,122.022,123,2535.012
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.955285,1.759906,3.097561,2.889326,0.520325,0.499587,1160.120000,0.000000,40.341463,0.863245,122.023,123,2557.027
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.116829,0.694630,1.544715,1.493901,0.512195,0.499851,1142.120000,0.000000,40.747967,0.503540,122.022,123,2332.674
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.209919,0.820645,2.414634,1.941950,0.609756,0.487805,1062.120000,0.000000,39.934959,0.926044,122.022,123,2466.055
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.141382,1.643072,4.252033,2.633720,2.065041,1.305024,1214.120000,0.000000,42.796748,0.611001,122.024,123,2823.804
edge-asus,r2plus1d_18,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.397967,1.617292,3.780488,3.010919,1.162602,0.957418,1086.120000,0.000000,42.991870,0.811462,122.023,123,2977.113
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.757951,0.955533,3.065574,1.726067,1.491803,0.861241,1174.120000,0.000000,43.188525,0.986233,121.023,122,2633.212
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.482114,1.005149,2.682927,1.827153,0.650407,0.476842,1056.120000,0.000000,42.463415,0.545382,122.022,123,2621.290
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.524508,0.637572,1.852459,1.013613,0.967213,0.219329,1120.233689,0.093144,44.860656,0.822985,121.024,122,2362.934
edge-asus,resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.136475,1.250771,3.770492,1.658495,0.303279,0.459675,970.120000,0.000000,40.647541,0.688573,121.024,122,2558.021
