host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-cpu,43.254228,7.949389,17.339024,3.598433,65.089431,6.118090,122.020,123
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-cpu,34.070569,7.653029,13.350407,3.559948,58.552846,7.640503,122.021,123
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-cpu,32.102520,5.917639,12.954472,2.842799,59.268293,5.531981,122.021,123
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-cpu,28.016341,5.700287,11.086992,2.721966,51.032520,4.999081,122.021,123
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-cpu,44.919919,8.169823,17.289431,3.540700,66.414634,6.787036,122.020,123
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-cpu,36.223415,8.246016,13.221951,3.512036,56.959350,6.168894,122.023,123
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-cpu,34.269837,6.371007,14.432520,3.149900,62.308943,6.239306,122.020,123
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-cpu,29.402439,5.968459,12.171545,2.957985,54.479675,5.939190,122.021,123
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-cpu,41.156829,7.505753,17.434959,3.648721,61.691057,5.507024,122.023,123
edge-asus,r2plus1d_18,vaccel-remote-sol,edge-asus-cpu,40.630574,6.533383,17.645902,3.204637,64.000000,6.190951,121.021,122
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-cpu,37.968943,6.986116,15.761789,3.347163,62.276423,6.416823,122.022,123
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-cpu,38.233984,7.074736,15.701626,3.366115,57.512195,6.547346,122.022,123
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-cpu,18.290000,3.259397,9.098361,2.170366,49.409836,2.366966,121.023,122
edge-asus,resnet50,vaccel-remote-sol,edge-asus-cpu,19.986967,3.316861,10.683607,2.320485,45.811475,2.832285,121.021,122
edge-asus,swin3d_b,vaccel-remote-ptc,edge-asus-cpu,49.712049,8.203120,19.850820,3.624241,65.172131,6.387350,121.024,122
edge-asus,swin3d_b,vaccel-remote-sol,edge-asus-cpu,45.787642,10.544779,18.618699,4.711504,59.276423,6.860160,122.022,123
edge-asus,swin3d_s,vaccel-remote-ptc,edge-asus-cpu,36.129675,7.820458,15.721138,3.914747,60.569106,4.755966,122.022,123
edge-asus,swin3d_s,vaccel-remote-sol,edge-asus-cpu,36.931545,8.034264,15.188618,3.773360,57.691057,5.748284,122.022,123
edge-asus,swin_s,vaccel-remote-ptc,edge-asus-cpu,39.760820,8.257199,16.565574,3.853203,59.704918,4.132416,121.021,122
edge-asus,swin_s,vaccel-remote-sol,edge-asus-cpu,40.878033,8.291577,17.241803,3.914744,58.860656,5.946918,121.021,122
edge-asus,swin_t,vaccel-remote-ptc,edge-asus-cpu,23.577787,3.505661,11.120492,2.056973,51.483607,3.070840,121.022,122
edge-asus,swin_t,vaccel-remote-sol,edge-asus-cpu,24.518361,3.937819,11.583607,2.259021,49.131148,3.048651,121.022,122
edge-asus,swin_v2_b,vaccel-remote-ptc,edge-asus-cpu,52.529098,11.442451,21.548361,5.127093,68.418033,6.169518,121.022,122
edge-asus,swin_v2_b,vaccel-remote-sol,edge-asus-cpu,55.558934,11.840424,22.521311,5.173819,66.467213,7.571717,121.020,122
robot,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-cpu,2.137459,0.234987,26.080328,4.489873,61.040984,1.766712,121.028,122
robot,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,2.699508,0.405994,41.566393,8.825156,64.532787,2.077137,121.038,122
robot,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-cpu,1.726803,0.171485,22.224590,4.444472,56.311475,1.802011,121.024,122
robot,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,2.103525,0.245921,31.800000,5.517558,57.991803,2.892885,121.044,122
robot,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-cpu,2.223607,0.258276,28.957377,4.990153,61.622951,2.433805,121.034,122
robot,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,2.610000,0.400152,41.118852,8.871305,63.467213,2.602598,121.045,122
robot,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-cpu,1.883279,0.221620,25.892623,5.135575,55.540984,1.806852,121.023,122
robot,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,2.071230,0.279172,31.392623,6.874498,54.557377,2.482890,121.035,122
robot,fcn_resnet101,vaccel-remote-ptc,edge-asus-cpu,2.130000,0.224846,25.460656,4.218491,61.713115,2.197165,121.026,122
robot,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,2.631230,0.318260,42.427049,7.317417,64.745902,2.434592,121.039,122
robot,fcn_resnet101,vaccel-remote-sol,edge-asus-cpu,1.739180,0.176837,21.889344,4.038175,55.745902,2.117691,121.034,122
robot,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,2.107438,0.234889,31.663636,5.248203,56.421488,2.134920,120.045,121
robot,fcn_resnet50,vaccel-remote-ptc,edge-asus-cpu,2.267541,0.270692,27.840164,5.023089,62.032787,2.048328,121.027,122
robot,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,2.615738,0.342668,41.598361,7.675402,63.549180,2.088620,121.041,122
robot,fcn_resnet50,vaccel-remote-sol,edge-asus-cpu,1.871066,0.197193,24.602459,4.481299,56.016393,2.381567,121.029,122
robot,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,2.118770,0.289657,31.745082,6.749549,56.590164,2.246141,121.032,122
robot,r2plus1d_18,vaccel-remote-ptc,edge-asus-cpu,4.322869,0.660448,38.740984,6.717847,66.942623,5.983994,121.031,122
robot,r2plus1d_18,vaccel-remote-ptc,edge-asus-gpu,5.486557,1.046324,65.213115,14.926201,71.721311,4.936087,121.058,122
robot,r2plus1d_18,vaccel-remote-sol,edge-asus-cpu,3.921157,0.516442,37.036364,5.962860,66.330579,6.279165,120.038,121
robot,r2plus1d_18,vaccel-remote-sol,edge-asus-gpu,5.486393,0.844009,64.913934,11.647875,71.540984,4.872384,121.068,122
robot,r3d_18,vaccel-remote-ptc,edge-asus-cpu,4.525000,0.710826,43.108197,8.093841,69.131148,6.372264,121.037,122
robot,r3d_18,vaccel-remote-ptc,edge-asus-gpu,5.756694,0.817319,68.620661,10.816271,73.396694,5.616504,120.047,121
robot,r3d_18,vaccel-remote-sol,edge-asus-cpu,4.292377,0.657590,41.568852,7.138823,66.139344,6.523998,121.038,122
robot,r3d_18,vaccel-remote-sol,edge-asus-gpu,5.526230,0.824630,66.590164,11.227246,72.483607,4.760207,121.036,122
robot,resnet50,vaccel-remote-ptc,edge-asus-cpu,1.924380,0.262338,40.780165,9.419012,60.049587,1.316464,120.037,121
robot,resnet50,vaccel-remote-ptc,edge-asus-gpu,2.199008,0.358190,45.245455,7.784728,62.495868,1.772722,120.030,121
robot,resnet50,vaccel-remote-sol,edge-asus-cpu,1.885950,0.233003,41.410744,8.239612,52.983471,1.906854,120.034,121
robot,resnet50,vaccel-remote-sol,edge-asus-gpu,2.041818,0.335411,42.511570,9.526346,57.123967,1.865610,120.041,121
robot,swin3d_b,vaccel-remote-ptc,edge-asus-cpu,3.698347,0.526448,32.885950,5.810667,64.859504,5.928368,120.055,121
robot,swin3d_b,vaccel-remote-ptc,edge-asus-gpu,5.336721,1.006365,64.579508,14.176163,72.114754,5.248258,121.054,122
robot,swin3d_b,vaccel-remote-sol,edge-asus-cpu,3.439672,0.606791,31.631148,7.054496,59.639344,5.553120,121.035,122
robot,swin3d_b,vaccel-remote-sol,edge-asus-gpu,5.301803,0.963518,63.468033,13.487014,71.565574,5.472716,121.076,122
robot,swin3d_s,vaccel-remote-ptc,edge-asus-cpu,4.327049,0.799926,38.209836,8.104304,66.352459,5.924279,121.031,122
robot,swin3d_s,vaccel-remote-ptc,edge-asus-gpu,5.417869,1.001995,65.514754,14.174745,71.467213,5.658570,121.050,122
robot,swin3d_s,vaccel-remote-sol,edge-asus-cpu,4.185738,0.745597,40.025410,8.774334,64.483607,6.271499,121.033,122
robot,swin3d_s,vaccel-remote-sol,edge-asus-gpu,5.334508,1.002804,63.840164,13.952529,70.434426,4.996700,121.062,122
robot,swin_s,vaccel-remote-ptc,edge-asus-cpu,1.875124,0.201047,40.773554,8.305229,59.661157,1.370008,120.040,121
robot,swin_s,vaccel-remote-ptc,edge-asus-gpu,2.026529,0.372016,40.628099,9.047407,61.165289,1.592062,120.035,121
robot,swin_s,vaccel-remote-sol,edge-asus-cpu,1.867521,0.214978,41.048760,8.459325,57.115702,1.554466,120.038,121
robot,swin_s,vaccel-remote-sol,edge-asus-gpu,2.057355,0.338721,42.347107,9.649203,60.049587,1.584278,120.035,121
robot,swin_t,vaccel-remote-ptc,edge-asus-cpu,1.951818,0.183132,42.447107,6.784536,59.173554,1.546404,120.038,121
robot,swin_t,vaccel-remote-ptc,edge-asus-gpu,2.084545,0.444091,41.501653,9.816532,62.165289,1.602411,120.043,121
robot,swin_t,vaccel-remote-sol,edge-asus-cpu,1.883471,0.175177,41.757851,6.744275,55.173554,1.961100,120.037,121
robot,swin_t,vaccel-remote-sol,edge-asus-gpu,2.031901,0.385832,41.066942,9.763834,59.355372,1.525862,120.037,121
robot,swin_v2_b,vaccel-remote-ptc,edge-asus-cpu,1.767273,0.202790,30.126446,6.411376,58.710744,1.479547,120.031,121
robot,swin_v2_b,vaccel-remote-ptc,edge-asus-gpu,2.006198,0.389518,40.867769,9.728286,61.049587,1.347488,120.036,121
robot,swin_v2_b,vaccel-remote-sol,edge-asus-cpu,1.684628,0.181144,34.971074,6.967426,55.066116,1.257937,120.044,121
robot,swin_v2_b,vaccel-remote-sol,edge-asus-gpu,1.994463,0.307216,41.185950,9.269209,60.553719,1.476820,120.025,121
