host,model,backend,device,gpu_count,gpu_names,power_draw_w_mean,power_draw_w_std,util_gpu_percent_mean,util_gpu_percent_std,util_mem_percent_mean,util_mem_percent_std,mem_used_mb_mean,mem_used_mb_std,temp_c_mean,temp_c_std,duration_sec,num_samples,gpu_energy_j
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.788374,1.539288,4.341463,2.536976,0.731707,0.443071,1188.120000,0.000000,44.016260,1.059097,122.023,123,2780.706
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.793902,1.427730,2.365854,2.983064,0.382114,0.485904,1170.120000,0.000000,42.235772,1.361977,122.022,123,2659.336
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.895041,1.103168,3.073171,1.663431,0.764228,0.424481,1134.120000,0.000000,42.617886,0.950142,122.022,123,2549.655
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.102439,0.873711,2.544715,2.433680,0.512195,0.499851,1070.120000,0.000000,40.926829,1.217559,122.022,123,2452.940
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.590407,1.219888,3.902439,1.993545,0.780488,0.413916,1214.120000,0.000000,43.796748,0.637058,122.023,123,2756.549
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.066667,1.069302,2.707317,2.929335,0.447154,0.497200,1160.120000,0.000000,39.983740,1.476007,122.021,123,2570.576
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.255691,0.790767,2.325203,1.284656,0.772358,0.438271,1142.120000,0.000000,42.934959,0.671606,122.023,123,2471.660
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.432683,0.792702,1.983740,1.942188,0.479675,0.499587,1062.120000,0.000000,39.772358,1.280326,122.021,123,2371.195
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.141382,1.643072,4.252033,2.633720,2.065041,1.305024,1214.120000,0.000000,42.796748,0.611001,122.024,123,2823.804
edge-asus,r2plus1d_18,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.397967,1.617292,3.780488,3.010919,1.162602,0.957418,1086.120000,0.000000,42.991870,0.811462,122.023,123,2977.113
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.757951,0.955533,3.065574,1.726067,1.491803,0.861241,1174.120000,0.000000,43.188525,0.986233,121.023,122,2633.212
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.482114,1.005149,2.682927,1.827153,0.650407,0.476842,1056.120000,0.000000,42.463415,0.545382,122.022,123,2621.290
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.524508,0.637572,1.852459,1.013613,0.967213,0.219329,1120.233689,0.093144,44.860656,0.822985,121.024,122,2362.934
edge-asus,resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.136475,1.250771,3.770492,1.658495,0.303279,0.459675,970.120000,0.000000,40.647541,0.688573,121.024,122,2558.021
edge-asus,swin3d_b,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,28.760732,3.027537,6.081301,4.649667,1.682927,1.333234,1466.120000,0.000000,43.959350,1.023293,122.023,123,3509.471
edge-asus,swin3d_b,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,27.776504,2.738323,5.951220,4.184473,1.951220,1.378426,1384.120000,0.000000,43.593496,1.132214,122.024,123,3389.400
edge-asus,swin3d_s,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.660976,2.199118,3.821138,3.789228,0.658537,0.696440,1296.120000,0.000000,43.357724,0.817791,122.023,123,3131.229
edge-asus,swin3d_s,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.144797,2.156575,4.601626,3.215157,1.300813,0.918951,1270.120000,0.000000,42.910569,0.710068,122.024,123,3068.269
edge-asus,swin_s,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.748934,2.183733,5.565574,2.570283,1.286885,0.579422,1198.120000,0.000000,42.811475,0.716686,121.024,122,2995.215
edge-asus,swin_s,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.089098,1.835437,5.680328,2.580718,0.942623,0.232562,1142.120000,0.000000,41.524590,0.821964,121.024,122,2915.359
edge-asus,swin_t,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.898115,1.259460,2.909836,1.286781,0.524590,0.499395,1118.120000,0.000000,43.016393,0.255548,121.023,122,2529.153
edge-asus,swin_t,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.545738,1.037137,3.016393,1.557550,0.418033,0.493236,1014.120000,0.000000,40.836066,0.450149,121.023,122,2486.507
edge-asus,swin_v2_b,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,29.638361,3.238574,7.918033,3.417866,1.737705,1.006563,1368.120000,0.000000,44.172131,0.964047,121.024,122,3586.953
edge-asus,swin_v2_b,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,28.371721,2.904689,9.336066,4.001251,1.360656,0.614918,1240.120000,0.000000,43.098361,1.051228,121.023,122,3433.631
