host,model,backend,device,gpu_count,gpu_names,power_draw_w_mean,power_draw_w_std,util_gpu_percent_mean,util_gpu_percent_std,util_mem_percent_mean,util_mem_percent_std,mem_used_mb_mean,mem_used_mb_std,temp_c_mean,temp_c_std,duration_sec,num_samples,gpu_energy_j
edge-asus,deeplabv3_resnet101,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,28.733387,1.192902,6.967742,2.627201,1.354839,0.541705,1106.750000,0.000000,46.661290,0.717153,61.009,62,1752.995
edge-asus,deeplabv3_resnet101,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,50.139032,3.965102,19.225806,6.312863,3.596774,1.170328,1096.781290,8.365045,49.741935,1.917117,61.009,62,3058.932
edge-asus,deeplabv3_resnet50,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.006935,0.662713,4.725806,2.049149,1.354839,0.541705,1070.693387,0.064457,47.096774,0.345929,61.010,62,1525.673
edge-asus,deeplabv3_resnet50,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,40.857419,3.164171,15.290323,5.156853,2.854839,0.997526,992.458710,5.451231,48.451613,1.765963,61.010,62,2492.711
edge-asus,fcn_resnet101,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,27.474194,0.864531,6.370968,2.287652,1.338710,0.537123,1130.750000,0.000000,46.435484,0.686764,61.011,62,1676.228
edge-asus,fcn_resnet101,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,46.929839,3.714500,17.274194,5.477724,3.774194,1.098670,1066.523226,9.438613,47.951613,2.465422,61.010,62,2863.189
edge-asus,fcn_resnet50,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.905806,1.428282,4.532258,2.832517,1.016129,0.420903,1096.776290,0.072584,46.129032,0.523138,61.010,62,1458.493
edge-asus,fcn_resnet50,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,36.632419,3.175534,11.032258,4.196649,2.483871,0.817982,964.458710,10.523696,47.612903,1.548723,61.010,62,2234.944
edge-asus,mc3_18,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,26.733065,0.935677,5.338710,2.162313,0.951613,0.214583,972.750000,0.000000,47.548387,0.836225,61.011,62,1631.011
edge-asus,mc3_18,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,41.901774,3.107546,14.177419,5.925680,0.983871,0.125972,910.620000,0.000000,47.935484,2.306170,61.010,62,2556.427
edge-asus,r2plus1d_18,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,31.473548,2.258917,7.435484,2.910609,2.500000,1.012024,1096.750000,0.000000,48.580645,0.976306,61.010,62,1920.201
edge-asus,r2plus1d_18,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,42.780484,2.791951,15.887097,5.637160,1.806452,0.895125,1010.620000,0.000000,50.403226,2.003704,61.009,62,2609.995
edge-asus,r3d_18,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,27.099194,0.998391,5.451613,2.084330,1.322581,0.532014,1052.750000,0.000000,47.822581,0.924997,61.010,62,1653.322
edge-asus,r3d_18,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,44.914516,2.985976,19.500000,6.600953,1.322581,0.532014,1004.620000,0.000000,50.048387,2.059027,61.009,62,2740.190
edge-asus,resnet50,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.229355,0.659207,1.903226,1.011382,0.467742,0.498958,1052.750000,0.000000,37.822581,0.684487,61.010,62,1173.183
edge-asus,resnet50,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.155161,0.985007,4.112903,1.627435,0.387097,0.487086,928.620000,0.000000,36.403226,1.113838,61.010,62,1290.676
edge-asus,swin3d_b,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,30.741452,1.806511,6.887097,2.885474,1.709677,0.904952,1406.750000,0.000000,48.516129,0.689599,61.012,62,1875.597
edge-asus,swin3d_b,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,44.195323,4.090214,17.741935,7.435606,5.306452,1.905753,1342.620000,0.000000,49.451613,2.037372,61.010,62,2696.357
edge-asus,swin3d_s,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,27.357258,1.037597,5.951613,2.365255,1.370968,0.545772,1224.750000,0.000000,46.629032,1.003765,61.010,62,1669.066
edge-asus,swin3d_s,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,36.089194,2.622072,11.596774,4.636669,2.903226,1.278982,1224.620000,0.000000,46.290323,1.590162,61.009,62,2201.766
edge-asus,swin3d_t,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.670000,0.868053,3.225806,1.538950,0.951613,0.214583,1114.750000,0.000000,45.161290,0.514109,61.009,62,1383.074
edge-asus,swin3d_t,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,27.887097,1.057019,6.822581,2.549663,1.870968,0.991640,1080.620000,0.000000,42.467742,1.510370,61.009,62,1701.364
edge-asus,swin_s,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.125968,1.051833,2.725806,1.065127,0.419355,0.493454,1078.750000,0.000000,41.048387,0.214583,61.010,62,1288.895
edge-asus,swin_s,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,26.561774,1.084069,7.016129,2.660899,1.064516,0.353369,1092.620000,0.000000,46.064516,0.435185,61.010,62,1620.534
