host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples
robot,deeplabv3_resnet101,ptc,cpu,8.977419,1.440372,95.433871,16.992132,92.919355,6.386221,61.005,62
robot,deeplabv3_resnet101,sol,cpu,9.062581,1.091783,97.541935,12.680612,93.225806,5.545761,61.008,62
robot,deeplabv3_resnet50,ptc,cpu,9.095000,1.263792,96.935484,14.341549,93.403226,5.689435,61.005,62
robot,deeplabv3_resnet50,sol,cpu,9.108871,1.249930,96.979032,14.242940,93.725806,6.059302,61.006,62
robot,fcn_resnet101,ptc,cpu,9.058254,1.323554,96.204762,15.162908,93.857143,6.020750,62.008,63
robot,fcn_resnet101,sol,cpu,9.002698,1.269782,96.420635,14.623890,93.904762,4.756664,62.006,63
robot,fcn_resnet50,ptc,cpu,9.145968,1.151621,96.337097,13.083198,93.032258,5.716326,61.006,62
robot,fcn_resnet50,sol,cpu,9.078871,1.309254,96.106452,14.940245,93.080645,5.643433,61.006,62
robot,mc3_18,ptc,cpu,9.066129,1.500774,94.967742,17.436787,92.677419,6.999480,61.008,62
robot,mc3_18,sol,cpu,8.757302,1.604671,94.142857,18.900136,92.158730,7.006134,62.008,63
robot,r2plus1d_18,ptc,cpu,9.273548,1.106138,95.572581,12.233167,93.048387,5.472593,61.009,62
robot,r2plus1d_18,sol,cpu,9.042222,1.337215,96.471429,15.446903,93.317460,5.786754,62.007,63
robot,r3d_18,ptc,cpu,9.195806,1.135174,96.785484,12.855021,93.161290,5.614479,61.005,62
robot,r3d_18,sol,cpu,9.047903,1.088109,96.506452,12.403627,93.290323,5.580459,61.006,62
robot,resnet50,ptc,cpu,9.750645,2.025006,93.772581,20.801172,91.548387,7.555552,61.008,62
robot,resnet50,sol,cpu,10.582742,1.653643,97.012903,14.774547,92.064516,7.195139,61.006,62
robot,swin3d_b,ptc,cpu,9.095238,1.179137,91.103175,12.988786,92.492063,5.497108,62.005,63
robot,swin3d_b,sol,cpu,9.052381,1.176985,96.479365,13.330668,92.952381,5.553288,62.006,63
robot,swin3d_s,ptc,cpu,9.235714,1.457639,90.733333,15.424954,92.857143,5.857724,62.010,63
robot,swin3d_s,sol,cpu,9.075968,1.457142,94.958065,16.722137,92.064516,6.005027,61.012,62
robot,swin3d_t,ptc,cpu,9.219355,1.337185,87.964516,13.562628,92.661290,5.803068,61.019,62
robot,swin3d_t,sol,cpu,9.369839,1.141716,97.362903,12.540659,93.193548,5.022012,61.010,62
robot,swin_s,ptc,cpu,9.353226,1.307473,92.919355,13.755443,92.419355,5.982632,61.010,62
robot,swin_s,sol,cpu,9.314194,1.239787,97.341935,13.616055,92.403226,5.936382,61.006,62
robot,swin_t,ptc,cpu,9.470000,1.365765,93.700000,14.307397,92.161290,5.894759,61.008,62
robot,swin_t,sol,cpu,9.389677,1.901845,93.835484,20.692098,91.354839,7.599017,61.006,62
robot,swin_v2_b,ptc,cpu,9.158710,1.163667,86.122581,11.652889,91.725806,5.688612,61.016,62
robot,swin_v2_b,sol,cpu,9.125806,1.633067,94.730645,18.569448,92.596774,7.099431,61.007,62
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,cpu,34.009841,6.845715,13.265079,3.099214,57.492063,5.681697,62.010,63
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,cpu,24.783016,5.290014,9.765079,2.576830,53.634921,5.192490,62.010,63
edge-asus,fcn_resnet101,vaccel-remote-sol,cpu,35.713810,6.830455,12.773016,2.861801,59.857143,5.803275,62.013,63
edge-asus,fcn_resnet50,vaccel-remote-sol,cpu,26.396190,4.833722,10.579365,2.414057,56.603175,5.910818,62.011,63
