host,model,backend,device,gpu_count,gpu_names,power_draw_w_mean,power_draw_w_std,util_gpu_percent_mean,util_gpu_percent_std,util_mem_percent_mean,util_mem_percent_std,mem_used_mb_mean,mem_used_mb_std,temp_c_mean,temp_c_std,duration_sec,num_samples,gpu_energy_j
edge-asus,swin3d_s,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,29.831429,2.702486,7.396825,5.391174,2.523810,1.850415,1284.750000,0.000000,46.507937,1.125082,62.011,63,1849.877
edge-asus,swin3d_t,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.226825,1.435522,2.333333,1.918994,0.587302,0.492319,1084.810000,0.000000,41.936508,0.587516,62.013,63,1316.339
edge-asus,swin_s,vaccel-remote-ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.374444,2.335195,5.317460,2.467731,0.936508,0.302005,1380.750000,0.000000,41.587302,0.704519,62.012,63,1511.508
edge-asus,swin_s,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.052857,0.832610,3.571429,1.204677,0.365079,0.481452,926.810000,0.000000,42.888889,0.402812,62.011,63,1305.509
edge-asus,swin_s,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,29.153810,3.287748,7.666667,3.177300,1.238095,0.583212,1378.750000,0.000000,45.507937,0.814024,62.012,63,1807.886
edge-asus,swin_t,vaccel-remote-ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.653968,0.872723,2.714286,1.118794,0.396825,0.489239,1190.750000,0.000000,40.238095,0.555329,62.012,63,1280.794
edge-asus,swin_t,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.121905,0.928342,3.746032,1.246815,0.428571,0.494872,926.810000,0.000000,42.968254,0.306970,62.012,63,1309.812
edge-asus,swin_t,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.946825,1.538946,4.047619,1.675487,0.936508,0.243846,1182.620000,0.000000,44.063492,0.530738,62.011,63,1484.967
edge-asus,swin_v2_b,vaccel-remote-ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,30.747460,2.739228,8.111111,3.395193,1.428571,0.728431,1720.750000,0.000000,43.492063,1.139103,62.012,63,1906.712
edge-asus,swin_v2_b,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.006349,0.861109,3.746032,1.272022,0.444444,0.496904,926.810000,0.000000,42.698413,0.458947,62.012,63,1302.646
edge-asus,swin_v2_b,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,35.900476,3.731911,11.142857,4.050699,1.952381,0.898474,1734.750000,0.000000,47.777778,1.240129,62.012,63,2226.260
