host,model,backend,device,gpu_count,gpu_names,power_draw_w_mean,power_draw_w_std,util_gpu_percent_mean,util_gpu_percent_std,util_mem_percent_mean,util_mem_percent_std,mem_used_mb_mean,mem_used_mb_std,temp_c_mean,temp_c_std,duration_sec,num_samples,gpu_energy_j
edge,deeplabv3_resnet50_sol,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,70.242800,1.712884,41.200000,8.400000,4.560000,0.983056,1054.960000,10.073649,55.440000,1.856448,24.097,25,1692.641
edge,deeplabv3_resnet50,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,58.146429,5.062907,36.142857,4.015277,5.857143,0.832993,1254.000000,0.000000,45.071429,2.016513,13.037,14,758.055
edge,fcn_resnet50_sol,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,66.618750,2.837222,39.416667,9.178402,5.291667,1.306368,1024.333333,9.213517,50.750000,2.602082,23.092,24,1538.360
edge,fcn_resnet50,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,56.203846,3.115066,29.846154,8.663328,5.384615,1.595111,1218.000000,0.000000,50.076923,1.542303,12.038,13,676.582
edge,mc3_18_sol,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.974355,0.670844,0.822581,2.779674,0.000000,0.000000,932.500000,0.000000,53.225806,1.210430,61.337,62,1225.167
edge,mc3_18,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.235161,0.274654,0.419355,1.289516,0.096774,0.295650,1054.000000,0.000000,55.532258,0.587991,61.343,62,1179.942
edge,mobilenet_v3_large_sol,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.251818,2.287256,2.363636,4.162008,0.000000,0.000000,848.500000,0.000000,55.454545,1.117110,21.127,22,448.987
edge,mobilenet_v3_large,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.804103,1.226368,1.461538,1.566413,0.051282,0.220572,956.000000,0.000000,52.897436,1.794505,38.187,39,794.446
edge,r3d_18_sol,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.482222,0.823094,1.571429,4.449770,0.095238,0.293544,1026.500000,0.000000,55.888889,0.566558,62.352,63,1277.108
edge,r3d_18,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.274603,0.348037,0.396825,1.351539,0.158730,0.540615,1218.000000,0.000000,55.650794,0.508928,62.346,63,1201.694
edge,resnet50_sol,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,29.803750,5.595037,11.593750,9.558567,1.281250,0.571969,950.500000,0.000000,55.656250,1.018865,31.181,32,929.311
edge,resnet50,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.686923,2.367264,5.769231,5.408737,1.615385,1.416304,1108.000000,0.000000,51.000000,1.617215,25.138,26,620.580
