timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c,gpu_energy_j_cumulative
1784826065223,2026-07-23T17:01:05.223630+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.13,80.0,9,3,1384.12,39,1129.883
1784826066223,2026-07-23T17:01:06.223794+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.88,80.0,9,3,1384.12,39,1158.635
1784826067223,2026-07-23T17:01:07.223993+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,27.22,80.0,9,3,1384.12,39,1187.675
1784826068224,2026-07-23T17:01:08.224156+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,27.79,80.0,8,2,1384.12,39,1215.915
1784826069224,2026-07-23T17:01:09.224310+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,27.2,80.0,9,3,1384.12,39,1242.786
1784826070224,2026-07-23T17:01:10.224521+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.72,80.0,9,3,1384.12,39,1270.165
1784826071224,2026-07-23T17:01:11.224735+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.04,80.0,0,0,1384.12,40,1298.542
1784826072224,2026-07-23T17:01:12.224934+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.73,80.0,4,1,1384.12,40,1327.122
1784826073225,2026-07-23T17:01:13.225175+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.32,80.0,9,3,1384.12,39,1356.325
1784826074225,2026-07-23T17:01:14.225349+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.97,80.0,9,3,1384.12,39,1386.571
1784826075225,2026-07-23T17:01:15.225532+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,27.59,80.0,9,3,1384.12,39,1416.4
1784826076225,2026-07-23T17:01:16.225742+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.73,80.0,0,0,1384.12,39,1444.927
1784826077225,2026-07-23T17:01:17.225946+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.42,80.0,1,0,1384.12,42,1473.513
1784826078226,2026-07-23T17:01:18.226095+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.89,80.0,0,0,1384.12,40,1502.91
1784826079226,2026-07-23T17:01:19.226300+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.75,80.0,9,3,1384.12,40,1531.937
1784826080226,2026-07-23T17:01:20.226505+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.32,80.0,9,3,1384.12,40,1560.956
1784826081226,2026-07-23T17:01:21.226678+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.87,80.0,9,3,1384.12,40,1591.474
1784826082226,2026-07-23T17:01:22.226822+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.26,80.0,9,3,1384.12,39,1619.683
1784826083227,2026-07-23T17:01:23.227004+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.93,80.0,0,0,1384.12,39,1648.099
1784826084227,2026-07-23T17:01:24.227211+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.74,80.0,9,3,1384.12,39,1676.977
1784826085227,2026-07-23T17:01:25.227414+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.45,80.0,0,0,1384.12,41,1705.552
1784826086227,2026-07-23T17:01:26.227634+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.77,80.0,0,0,1384.12,43,1732.81
1784826087227,2026-07-23T17:01:27.227874+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.45,80.0,0,0,1384.12,40,1761.66
1784826088228,2026-07-23T17:01:28.228073+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.85,80.0,9,3,1384.12,40,1790.447
1784826089228,2026-07-23T17:01:29.228246+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.4,80.0,9,3,1384.12,40,1819.459
1784826090228,2026-07-23T17:01:30.228406+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.89,80.0,9,3,1384.12,40,1848.074
1784826091228,2026-07-23T17:01:31.228601+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,27.47,80.0,9,3,1384.12,40,1876.55
1784826092228,2026-07-23T17:01:32.228810+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,30.07,80.0,9,3,1384.12,40,1905.863
