host,model,backend,device,net_rx_mbps_mean,net_rx_mbps_std,net_tx_mbps_mean,net_tx_mbps_std,duration_sec,num_samples
robot,deeplabv3_resnet101,aoti,cpu,0.000262,0.000109,0.000105,0.000088,240.022,241
robot,deeplabv3_resnet101,ptc,cpu,0.000256,0.000114,0.000099,0.000084,240.025,241
robot,deeplabv3_resnet101,sol,cpu,0.000266,0.000114,0.000106,0.000091,241.025,242
robot,deeplabv3_resnet101,vaccel-local-ptc,cpu,0.000005,0.000036,0.000005,0.000032,240.020,241
robot,deeplabv3_resnet101,vaccel-local-sol,cpu,0.000007,0.000047,0.000005,0.000038,241.024,242
robot,deeplabv3_resnet50,aoti,cpu,0.000260,0.000101,0.000103,0.000083,240.023,241
robot,deeplabv3_resnet50,ptc,cpu,0.000270,0.000115,0.000110,0.000094,240.024,241
robot,deeplabv3_resnet50,sol,cpu,0.000261,0.000108,0.000103,0.000078,240.034,241
robot,deeplabv3_resnet50,vaccel-local-ptc,cpu,0.000003,0.000030,0.000002,0.000017,240.029,241
robot,deeplabv3_resnet50,vaccel-local-sol,cpu,0.000007,0.000047,0.000005,0.000038,240.024,241
robot,fcn_resnet101,aoti,cpu,0.000259,0.000115,0.000102,0.000083,240.026,241
robot,fcn_resnet101,ptc,cpu,0.000258,0.000111,0.000099,0.000087,240.025,241
robot,fcn_resnet101,sol,cpu,0.000256,0.000106,0.000098,0.000083,241.030,242
robot,fcn_resnet101,vaccel-local-ptc,cpu,0.000006,0.000043,0.000004,0.000029,240.033,241
robot,fcn_resnet101,vaccel-local-sol,cpu,0.000004,0.000033,0.000003,0.000021,241.027,242
robot,fcn_resnet50,aoti,cpu,0.000265,0.000104,0.000109,0.000093,240.037,241
robot,fcn_resnet50,ptc,cpu,0.000254,0.000106,0.000096,0.000088,240.032,241
robot,fcn_resnet50,sol,cpu,0.000550,0.004433,0.000165,0.000936,240.028,241
robot,fcn_resnet50,vaccel-local-ptc,cpu,0.000007,0.000047,0.000005,0.000044,240.031,241
robot,fcn_resnet50,vaccel-local-sol,cpu,0.000007,0.000047,0.000005,0.000033,240.027,241
robot,r2plus1d_18,aoti,cpu,0.000264,0.000105,0.000105,0.000083,240.036,241
robot,r2plus1d_18,ptc,cpu,0.000267,0.000127,0.000153,0.000699,240.026,241
robot,r2plus1d_18,sol,cpu,0.000260,0.000108,0.000102,0.000084,240.028,241
robot,r2plus1d_18,vaccel-local-ptc,cpu,0.000032,0.000251,0.000083,0.000854,240.026,241
robot,r2plus1d_18,vaccel-local-sol,cpu,0.000034,0.000341,0.000095,0.000870,241.026,242
robot,r3d_18,aoti,cpu,0.000267,0.000136,0.000164,0.000822,241.020,242
robot,r3d_18,ptc,cpu,0.000264,0.000099,0.000104,0.000084,240.030,241
robot,r3d_18,sol,cpu,0.000262,0.000102,0.000106,0.000085,240.023,241
robot,r3d_18,vaccel-local-ptc,cpu,0.000004,0.000035,0.000003,0.000025,240.034,241
robot,r3d_18,vaccel-local-sol,cpu,0.000007,0.000046,0.000005,0.000037,240.028,241
robot,resnet50,aoti,cpu,0.000257,0.000101,0.000102,0.000086,240.027,241
robot,resnet50,ptc,cpu,0.000260,0.000117,0.000102,0.000081,240.024,241
robot,resnet50,sol,cpu,0.000281,0.000142,0.000153,0.000317,240.024,241
