host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples,cpu_energy_j,cpu_energy_j_total
robot,deeplabv3_resnet101,aoti,cpu,10.305726,1.453202,97.353112,14.376649,92.979253,5.564744,240.022,241,2473.601,2486.541
robot,deeplabv3_resnet101,ptc,cpu,10.266971,1.446690,96.995021,14.734338,92.991701,5.404771,240.025,241,2464.330,2478.427
robot,deeplabv3_resnet101,sol,cpu,10.358802,1.221333,97.895868,12.419399,93.119835,4.753218,241.025,242,2496.730,2507.652
robot,deeplabv3_resnet101,vaccel-local-ptc,cpu,10.329046,1.600479,96.956432,15.832669,92.360996,6.021949,240.020,241,2479.178,2496.662
robot,deeplabv3_resnet101,vaccel-local-sol,cpu,10.315041,1.430014,97.111570,14.354748,92.987603,5.887711,241.024,242,2486.173,2496.786
robot,deeplabv3_resnet50,aoti,cpu,10.515975,1.703218,96.930705,15.539642,91.560166,6.270321,240.023,241,2524.076,2537.746
robot,deeplabv3_resnet50,ptc,cpu,10.355062,1.713452,96.504979,16.359934,91.315353,6.028299,240.024,241,2485.463,2500.792
robot,deeplabv3_resnet50,sol,cpu,10.538340,1.627022,97.545228,13.931376,90.655602,6.210824,240.034,241,2529.560,2546.077
robot,deeplabv3_resnet50,vaccel-local-ptc,cpu,10.525104,1.601528,97.432365,14.284116,91.452282,5.956168,240.029,241,2526.330,2543.270
robot,deeplabv3_resnet50,vaccel-local-sol,cpu,10.471079,1.742436,96.563900,15.818055,91.224066,6.497973,240.024,241,2513.310,2528.949
robot,fcn_resnet101,aoti,cpu,10.367303,0.998403,97.957261,10.145062,93.331950,4.771737,240.026,241,2488.422,2502.024
robot,fcn_resnet101,ptc,cpu,10.205436,1.614056,95.777178,16.290603,93.149378,5.074802,240.025,241,2449.560,2467.416
robot,fcn_resnet101,sol,cpu,10.312686,1.283559,96.940083,12.883801,93.309917,5.280463,241.030,242,2485.667,2499.171
robot,fcn_resnet101,vaccel-local-ptc,cpu,10.385851,1.019217,97.374689,9.903484,93.058091,4.667886,240.033,241,2492.947,2508.230
robot,fcn_resnet101,vaccel-local-sol,cpu,10.289091,1.321294,96.614876,13.434615,93.504132,4.996898,241.027,242,2479.949,2492.889
robot,fcn_resnet50,aoti,cpu,10.360332,1.381132,96.812448,13.716214,92.883817,5.497169,240.037,241,2486.863,2500.313
robot,fcn_resnet50,ptc,cpu,10.268714,1.431863,95.890041,14.344929,93.058091,5.388318,240.032,241,2464.820,2477.199
robot,fcn_resnet50,sol,cpu,10.375934,1.375088,96.748963,13.486447,93.414938,4.311764,240.028,241,2490.515,2504.590
robot,fcn_resnet50,vaccel-local-ptc,cpu,10.312780,1.524195,95.812033,15.057447,93.049793,5.068576,240.031,241,2475.387,2492.692
robot,fcn_resnet50,vaccel-local-sol,cpu,10.340788,1.478501,95.929046,14.640196,93.103734,5.335393,240.027,241,2482.068,2497.836
robot,r2plus1d_18,aoti,cpu,10.343776,1.286281,95.506639,12.794684,92.962656,5.046121,240.036,241,2482.879,2495.900
robot,r2plus1d_18,ptc,cpu,10.283278,1.398756,95.691286,13.996101,92.701245,5.110598,240.026,241,2468.254,2483.758
robot,r2plus1d_18,sol,cpu,10.089336,1.415872,96.826141,14.707559,93.261411,5.162316,240.028,241,2421.723,2436.659
