host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples,cpu_energy_j,cpu_energy_j_total
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-cpu,49.185405,4.358589,19.564324,1.933663,69.270270,6.725702,184.032,185,9051.689,9130.169
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-cpu,52.653191,5.738967,21.060638,2.461003,73.420213,7.278577,187.035,188,9847.990,9902.921
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-cpu,37.409804,3.556536,15.928105,1.698421,66.000000,6.794846,152.024,153,5687.188,5750.987
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-cpu,40.716795,4.148224,16.502564,1.956873,71.108974,6.743063,155.026,156,6312.162,6370.196
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-cpu,50.552577,4.698091,19.652577,2.014488,71.463918,7.028751,193.034,194,9758.366,9810.281
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-cpu,55.036735,4.215019,20.031122,1.698018,74.142857,6.416656,195.045,196,10734.640,10823.410
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-cpu,38.816196,3.224809,16.346626,1.545914,66.036810,6.995081,162.028,163,6289.311,6328.398
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-cpu,41.582121,3.381871,17.863636,1.709478,70.381818,6.545387,164.027,165,6820.591,6885.056
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-cpu,42.818640,4.269355,18.104386,2.104752,66.460526,7.144696,227.042,228,9721.630,9766.706
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-cpu,40.098894,3.277880,16.515385,1.585315,67.918269,7.516524,207.036,208,8301.915,8369.515
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-cpu,41.315238,3.890269,16.556190,1.838603,67.371429,8.008040,209.040,210,8636.537,8696.921
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-cpu,18.024722,2.441725,9.469444,1.764593,51.388889,2.965335,35.006,36,630.973,655.864
edge-asus,resnet50,vaccel-remote-sol,edge-asus-cpu,19.434026,4.117743,9.759740,2.747148,54.805195,2.598896,76.016,77,1477.297,1501.456
edge-asus,swin3d_b,vaccel-remote-ptc,edge-asus-cpu,51.583156,4.769167,20.404965,2.021808,69.648936,6.313400,281.056,282,14497.756,14567.623
