host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples,cpu_energy_j,cpu_energy_j_total
robot,deeplabv3_resnet101,vaccel-local-ptc,cpu,9.054591,0.473092,97.582918,5.478479,93.718861,2.510327,280.049,281,2535.729,2550.209
robot,deeplabv3_resnet101,vaccel-local-sol,cpu,9.028835,0.447057,97.419094,5.306440,94.281553,2.251576,308.051,309,2781.342,2794.886
robot,deeplabv3_resnet50,vaccel-local-ptc,cpu,9.067956,0.596731,96.734807,6.799947,93.955801,3.248158,180.026,181,1632.468,1641.800
robot,deeplabv3_resnet50,vaccel-local-sol,cpu,8.929802,0.553744,96.612376,6.469624,93.881188,3.066223,201.038,202,1795.230,1807.124
robot,fcn_resnet101,vaccel-local-ptc,cpu,9.067050,0.099803,96.778261,1.133685,94.639752,1.499701,327.848,322,2972.614,2988.382
robot,fcn_resnet101,vaccel-local-sol,cpu,9.052228,0.413100,96.742440,4.801906,94.352785,2.462493,376.062,377,3404.199,3417.197
robot,fcn_resnet50,vaccel-local-ptc,cpu,9.072612,0.517930,95.527755,5.886224,94.212245,2.750112,244.043,245,2214.108,2229.832
robot,fcn_resnet50,vaccel-local-sol,cpu,8.920296,0.477879,95.858148,5.577998,94.325926,2.804308,269.053,270,2400.032,2415.859
robot,r2plus1d_18,vaccel-local-ptc,cpu,9.229109,0.811949,94.370297,8.930408,93.673267,3.892386,100.021,101,923.105,937.459
robot,r2plus1d_18,vaccel-local-sol,cpu,9.056389,0.751397,94.723148,8.590343,93.453704,3.916689,107.019,108,969.206,981.344
robot,r3d_18,vaccel-local-ptc,cpu,9.203721,0.877669,93.912791,9.645059,93.546512,4.178174,85.009,86,782.399,798.155
robot,r3d_18,vaccel-local-sol,cpu,9.076400,0.787395,93.637000,8.876392,93.960000,3.931717,99.022,100,898.763,909.317
robot,resnet50,vaccel-local-ptc,cpu,9.888049,1.397093,95.963415,14.240971,91.268293,6.555669,40.007,41,395.591,411.453
robot,resnet50,vaccel-local-sol,cpu,9.918478,1.321613,96.578261,13.509239,91.934783,6.424823,45.014,46,446.470,457.831
robot,swin3d_b,vaccel-local-ptc,cpu,9.319301,0.706489,93.202797,7.781311,93.146853,3.374023,142.032,143,1323.639,1333.335
robot,swin3d_b,vaccel-local-sol,cpu,9.160219,0.690147,97.935766,7.913056,93.912409,3.552473,136.027,137,1246.037,1259.487
robot,swin3d_s,vaccel-local-ptc,cpu,9.961978,0.963088,93.424176,9.346026,92.813187,4.762288,90.018,91,896.757,912.188
robot,swin3d_s,vaccel-local-sol,cpu,9.567419,0.888105,97.636559,9.460021,93.881720,3.700768,92.019,93,880.384,890.273
robot,swin_s,vaccel-local-ptc,cpu,9.464141,0.749652,96.114844,8.038240,92.945312,3.837131,127.027,128,1202.201,1213.499
robot,swin_s,vaccel-local-sol,cpu,9.074744,0.743726,98.803846,7.554485,91.083333,4.206159,155.025,156,1406.812,1416.417
robot,swin_t,vaccel-local-ptc,cpu,9.608154,1.067437,96.104615,11.288571,93.015385,5.379426,64.016,65,615.076,627.422
robot,swin_t,vaccel-local-sol,cpu,9.481373,1.169305,96.990196,12.913062,92.235294,5.278845,50.005,51,474.116,484.827
robot,swin_v2_b,vaccel-local-ptc,cpu,9.224213,0.516644,90.083858,5.385057,92.767717,2.854266,253.060,254,2334.279,2343.800
robot,swin_v2_b,vaccel-local-sol,cpu,9.171979,0.597608,98.265775,6.741634,93.508021,2.502125,186.030,187,1706.263,1720.544
