host,model,backend,device,gpu_count,gpu_names,power_draw_w_mean,power_draw_w_std,util_gpu_percent_mean,util_gpu_percent_std,util_mem_percent_mean,util_mem_percent_std,mem_used_mb_mean,mem_used_mb_std,temp_c_mean,temp_c_std,duration_sec,num_samples,gpu_energy_j,gpu_energy_j_total
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.725225,1.034384,5.396396,1.955723,0.936937,0.408894,1210.120000,0.000000,50.072072,1.366997,110.020,111,2720.269,2767.836
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,26.822743,1.220445,5.725664,2.239025,0.884956,0.370415,1174.120000,0.000000,49.398230,1.732254,112.020,113,3004.684,3074.637
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.175045,0.762541,3.747748,1.086099,0.936937,0.277676,1138.120000,0.000000,48.792793,1.376227,110.020,111,2439.698,2462.046
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.878991,0.895858,4.532110,1.200679,0.954128,0.249231,1074.120000,0.000000,49.348624,1.435948,108.019,109,2579.385,2613.158
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.960357,0.934679,4.285714,1.799943,0.901786,0.421727,1218.120000,0.000000,49.348214,1.418688,111.020,112,2660.079,2668.023
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.944474,1.027451,5.219298,1.819769,0.885965,0.317854,1164.120000,0.000000,50.078947,1.584712,113.021,114,2932.270,2984.875
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.476075,0.564004,2.635514,1.017533,0.869159,0.337227,1146.120000,0.000000,48.317757,1.398251,106.019,107,2276.872,2306.512
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.253670,0.769477,3.669725,1.249257,0.917431,0.335333,1066.120000,0.000000,48.807339,1.468177,108.021,109,2511.885,2535.192
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.901027,0.930718,4.636986,2.412525,2.102740,1.174673,1218.120000,0.000000,47.849315,1.124707,145.026,146,3466.270,3515.658
edge-asus,r2plus1d_18,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.449241,1.011455,3.972414,2.850154,1.289655,0.946261,1090.120000,0.000000,48.124138,1.389035,144.028,145,3665.403,3703.464
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.213217,0.580379,2.888112,1.801728,1.307692,0.886817,1178.120000,0.000000,48.020979,0.978571,142.030,143,3154.943,3179.165
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.121319,0.675771,2.840278,1.839623,0.694444,0.460642,1060.120000,0.000000,47.111111,1.054824,143.028,144,3163.968,3188.815
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.835915,0.330252,1.943662,0.962499,0.507042,0.499950,1124.120000,0.000000,47.704225,0.456390,70.014,71,1388.792,1411.721
