host,model,backend,device,gpu_count,gpu_names,power_draw_w_mean,power_draw_w_std,util_gpu_percent_mean,util_gpu_percent_std,util_mem_percent_mean,util_mem_percent_std,mem_used_mb_mean,mem_used_mb_std,temp_c_mean,temp_c_std,duration_sec,num_samples,gpu_energy_j
edge-asus,deeplabv3_resnet101,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,55.254444,14.483135,32.555556,17.429930,5.333333,3.091206,1106.620000,0.000000,51.777778,2.096440,8.002,9,442.146
edge-asus,deeplabv3_resnet101,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,71.812941,13.461572,47.529412,17.439366,5.176471,1.916961,1100.502353,9.392628,54.000000,2.029199,16.002,17,1149.151
edge-asus,deeplabv3_resnet101,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,57.993333,13.594980,38.888889,13.811786,5.444444,1.949992,1132.750000,0.000000,51.555556,1.498971,8.002,9,464.063
edge-asus,deeplabv3_resnet50,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,49.290000,13.412503,25.000000,14.448183,4.625000,2.689679,1070.620000,0.000000,52.375000,1.727534,7.001,8,345.079
edge-asus,deeplabv3_resnet50,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,67.952308,14.829296,47.000000,13.688850,5.384615,1.733758,1002.312308,12.523115,55.615385,1.982169,12.002,13,815.564
edge-asus,deeplabv3_resnet50,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,52.093750,11.526576,27.000000,15.596474,4.500000,2.598076,1064.750000,0.000000,52.750000,1.713914,7.001,8,364.708
edge-asus,fcn_resnet101,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,52.248889,14.538755,29.444444,15.826217,4.666667,2.494438,1130.620000,0.000000,50.888889,1.791613,8.002,9,418.096
edge-asus,fcn_resnet101,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,70.003750,15.445847,48.437500,12.658835,5.687500,1.488235,1067.120000,5.678908,52.437500,1.766662,15.002,16,1050.196
edge-asus,fcn_resnet101,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,54.693333,13.828009,31.666667,16.990193,4.666667,2.494438,1136.620000,0.000000,50.333333,2.000000,8.002,9,437.656
edge-asus,fcn_resnet50,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,49.581429,10.936012,21.000000,13.288018,4.285714,2.710524,1096.620000,0.000000,51.571429,1.178030,6.002,7,297.588
edge-asus,fcn_resnet50,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,64.895833,15.496390,38.166667,17.092071,5.000000,2.236068,968.620000,7.164728,53.833333,1.863390,11.002,12,713.984
edge-asus,fcn_resnet50,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,48.431250,12.704574,27.375000,10.367467,5.125000,1.964529,1062.750000,0.000000,51.125000,1.452369,7.002,8,339.116
edge-asus,mc3_18,ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.372174,0.656274,1.304348,1.828156,0.347826,0.476280,972.620000,0.000000,51.739130,0.735284,22.003,23,426.246
edge-asus,mc3_18,sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.273913,2.002465,3.608696,4.420694,0.391304,0.488042,910.620000,0.000000,52.260870,0.673562,22.003,23,512.096
edge-asus,mc3_18,stock,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.575652,0.739488,1.391304,1.905122,0.347826,0.476280,980.750000,0.000000,50.913043,0.775328,22.005,23,430.762
