host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples
edge-asus,deeplabv3_resnet101,ptc,cpu,105.936923,14.559830,40.982692,5.900936,86.615385,5.984447,51.013,52
edge-asus,deeplabv3_resnet101,sol,cpu,104.516379,18.864123,40.334483,7.658251,86.431034,6.094407,57.014,58
edge-asus,deeplabv3_resnet101,stock,cpu,104.201618,12.493281,41.202941,5.180648,85.602941,6.458327,67.015,68
edge-asus,deeplabv3_resnet50,ptc,cpu,99.116757,22.268695,39.643243,9.381683,84.270270,8.056049,36.007,37
edge-asus,deeplabv3_resnet50,sol,cpu,102.887949,16.158558,40.569231,6.736969,85.358974,7.842969,38.007,39
edge-asus,deeplabv3_resnet50,stock,cpu,100.884000,18.677686,40.320000,7.875862,85.480000,7.142101,49.012,50
edge-asus,fcn_resnet101,ptc,cpu,103.361579,16.490203,40.352632,6.795899,85.982456,7.243851,56.012,57
edge-asus,fcn_resnet101,sol,cpu,103.428871,13.631214,40.293548,5.611476,86.467742,5.749384,61.014,62
edge-asus,fcn_resnet101,stock,cpu,101.947541,16.256424,40.427869,6.804100,84.983607,6.773845,60.009,61
edge-asus,fcn_resnet50,ptc,cpu,97.822927,20.051807,39.439024,8.531402,84.609756,8.108647,40.009,41
edge-asus,fcn_resnet50,sol,cpu,99.455909,18.782227,39.543182,7.843683,84.886364,6.332513,43.008,44
edge-asus,fcn_resnet50,stock,cpu,98.719767,14.782812,40.402326,6.404413,83.674419,6.029852,42.007,43
edge-asus,mc3_18,ptc,cpu,69.921034,16.278490,32.744828,8.077666,74.655172,5.984324,28.005,29
edge-asus,mc3_18,sol,cpu,72.169286,14.966547,33.264286,7.218736,75.071429,7.694750,27.004,28
edge-asus,mc3_18,stock,cpu,69.860690,17.828891,32.665517,8.844920,75.517241,7.509170,28.005,29
edge-asus,r2plus1d_18,ptc,cpu,70.142667,18.243932,32.843333,9.086095,75.033333,6.295413,29.005,30
edge-asus,r2plus1d_18,sol,cpu,72.321000,14.834150,33.746667,7.176245,76.000000,6.782330,29.004,30
edge-asus,r2plus1d_18,stock,cpu,72.077333,14.381678,33.896667,7.010586,75.900000,5.557877,29.004,30
edge-asus,r3d_18,ptc,cpu,69.670714,17.070473,32.625000,8.493133,76.035714,6.982029,27.004,28
edge-asus,r3d_18,sol,cpu,71.341429,15.575785,32.857143,7.517761,75.035714,7.178749,27.004,28
edge-asus,r3d_18,stock,cpu,69.145517,17.438279,32.186207,8.666970,77.241379,6.526631,28.005,29
edge-asus,resnet50,ptc,cpu,85.777000,32.265015,34.760000,13.867819,69.100000,9.710304,9.002,10
edge-asus,resnet50,sol,cpu,83.348182,36.898986,33.890909,15.957127,67.272727,9.845081,10.002,11
edge-asus,resnet50,stock,cpu,86.300000,26.448253,37.027273,12.029289,66.909091,11.851003,10.002,11
edge-asus,swin3d_b,ptc,cpu,73.121212,15.843236,34.030303,7.847620,77.090909,6.973385,32.006,33
edge-asus,swin3d_b,sol,cpu,73.868750,17.083874,33.715625,8.300117,76.531250,6.995464,31.005,32
edge-asus,swin3d_b,stock,cpu,74.427059,14.787761,34.364706,7.238698,77.382353,6.615555,33.006,34
edge-asus,swin3d_s,ptc,cpu,69.885172,13.972219,33.679310,6.897745,73.482759,5.611692,28.005,29
edge-asus,swin3d_s,sol,cpu,71.591429,14.178824,33.603571,6.930650,78.035714,6.020691,27.004,28
edge-asus,swin3d_s,stock,cpu,70.111724,15.623010,33.496552,7.811993,75.241379,5.805201,28.004,29
edge-asus,swin3d_t,ptc,cpu,64.722222,16.977267,32.081481,8.826015,70.407407,5.237042,26.003,27
edge-asus,swin3d_t,sol,cpu,65.722692,17.088702,32.223077,8.813028,70.961538,6.009485,25.003,26
edge-asus,swin3d_t,stock,cpu,65.058519,17.657034,32.422222,9.222008,71.555556,6.662962,26.004,27
edge-asus,swin_s,ptc,cpu,99.256522,20.719912,39.604348,8.720265,79.826087,7.370046,22.005,23
edge-asus,swin_s,sol,cpu,96.767500,28.835704,37.820000,11.891030,79.750000,8.785642,19.005,20
edge-asus,swin_s,stock,cpu,98.485417,22.307093,39.037500,9.318164,80.000000,7.994790,23.004,24
edge-asus,swin_t,ptc,cpu,91.422308,27.076277,37.230769,11.655859,73.000000,10.748882,12.002,13
edge-asus,swin_t,sol,cpu,85.139231,34.118594,35.192308,14.970867,71.000000,8.987170,12.001,13
edge-asus,swin_t,stock,cpu,88.172857,29.691479,36.300000,12.942289,70.785714,10.877096,13.003,14
edge-asus,swin_v2_b,ptc,cpu,100.009750,15.832200,40.617500,6.756215,82.900000,7.472617,39.008,40
edge-asus,swin_v2_b,sol,cpu,104.203243,21.036810,39.897297,8.472898,84.216216,8.520675,36.009,37
edge-asus,swin_v2_b,stock,cpu,100.565116,15.972874,40.553488,6.780216,84.139535,6.642294,42.009,43
robot,deeplabv3_resnet101,ptc,cpu,9.939464,0.498304,99.600536,5.238146,94.211796,2.538850,372.034,373
robot,deeplabv3_resnet101,sol,cpu,9.996247,0.556919,99.470546,5.835568,94.220903,2.886802,420.055,421
robot,deeplabv3_resnet101,stock,cpu,10.056291,0.576745,99.332009,6.061842,94.094923,2.716525,452.050,453
robot,deeplabv3_resnet50,ptc,cpu,9.902716,0.657013,99.241564,6.983611,94.053498,3.489139,242.024,243
robot,deeplabv3_resnet50,sol,cpu,9.924733,0.564929,99.442705,6.015557,94.434164,2.865323,280.028,281
robot,deeplabv3_resnet50,stock,cpu,9.995392,0.564936,99.167398,5.954699,94.081505,3.019208,318.035,319
robot,fcn_resnet101,ptc,cpu,9.961687,0.446311,99.436992,4.666937,94.402439,2.587618,491.059,492
robot,fcn_resnet101,sol,cpu,10.042636,0.418197,99.309533,4.374655,94.426168,2.238505,534.071,535
robot,fcn_resnet101,stock,cpu,10.108689,0.510058,99.423136,5.332698,94.156812,2.769386,388.051,389
robot,fcn_resnet50,ptc,cpu,9.967291,0.516205,99.121508,5.433458,94.681564,2.669766,357.041,358
robot,fcn_resnet50,sol,cpu,10.013616,0.570627,99.176808,5.959183,94.533666,2.593775,400.045,401
robot,fcn_resnet50,stock,cpu,10.124690,0.637966,99.267442,6.650321,93.972868,3.401328,257.028,258
robot,mc3_18,ptc,cpu,10.023153,1.277637,86.473874,12.647670,93.297297,5.045013,110.029,111
robot,mc3_18,sol,cpu,9.955690,1.041964,87.634483,10.811593,92.931034,4.619532,115.024,116
robot,mc3_18,stock,cpu,9.845044,0.989354,87.242478,10.749075,93.292035,4.963016,112.028,113
robot,r2plus1d_18,ptc,cpu,10.098000,1.035079,86.733913,10.586660,93.408696,4.912974,114.027,115
robot,r2plus1d_18,sol,cpu,9.961750,1.189166,87.563333,12.236182,93.333333,5.035430,119.029,120
robot,r2plus1d_18,stock,cpu,9.943025,0.990584,86.997479,10.689636,93.663866,4.019443,118.027,119
robot,r3d_18,ptc,cpu,10.056111,1.173101,86.253704,11.597569,93.351852,5.476067,107.026,108
robot,r3d_18,sol,cpu,9.972393,1.206799,87.195726,12.272333,93.316239,5.163398,116.028,117
robot,r3d_18,stock,cpu,9.883636,1.042812,86.846364,11.031934,93.000000,4.948829,109.037,110
robot,resnet50,ptc,cpu,10.622407,1.570244,96.942593,14.850746,91.722222,7.362107,53.005,54
robot,resnet50,sol,cpu,11.385000,1.994850,96.358621,17.660379,89.862069,9.270733,57.006,58
robot,resnet50,stock,cpu,10.806071,1.681011,95.833929,15.482401,90.285714,8.282327,55.006,56
robot,swin3d_b,ptc,cpu,10.042662,0.947629,85.723022,9.652564,92.992806,4.270522,138.026,139
robot,swin3d_b,sol,cpu,9.933910,1.038741,88.949624,11.880138,93.819549,3.937165,132.027,133
robot,swin3d_b,stock,cpu,9.781765,0.965188,86.414379,10.541685,93.307190,3.957752,152.032,153
robot,swin3d_s,ptc,cpu,10.070088,1.058777,84.312281,9.970044,92.131579,5.295667,113.028,114
robot,swin3d_s,sol,cpu,9.962920,1.126715,86.093805,11.164952,93.088496,5.158647,112.029,113
robot,swin3d_s,stock,cpu,9.900678,0.960941,84.556780,9.871844,92.508475,4.212060,117.031,118
robot,swin3d_t,ptc,cpu,10.089596,1.153007,81.820202,10.008168,92.292929,5.512616,98.033,99
robot,swin3d_t,sol,cpu,9.986022,1.238190,83.677419,11.665675,92.505376,5.780248,92.033,93
robot,swin3d_t,stock,cpu,9.944158,1.069752,81.847525,9.873583,92.405941,5.163041,100.029,101
robot,swin_s,ptc,cpu,10.122514,0.834723,94.141714,8.239010,91.748571,4.348357,174.043,175
robot,swin_s,sol,cpu,10.259752,1.152850,98.374380,11.508018,93.289256,4.432111,120.013,121
robot,swin_s,stock,cpu,10.035108,0.829616,94.432258,8.286447,91.897849,4.127705,185.026,186
robot,swin_t,ptc,cpu,10.135111,1.271024,94.016667,12.568826,92.066667,5.579327,89.013,90
robot,swin_t,sol,cpu,10.840896,1.427795,97.638806,13.076285,92.656716,7.172818,66.007,67
robot,swin_t,stock,cpu,10.198085,1.155321,94.448936,11.334055,91.840426,5.338147,93.018,94
