container,host,device,model,backend,cpu_percent_mean,cpu_percent_std,mem_mb_mean,mem_mb_std,blk_read_mb_mean,blk_read_mb_std,blk_write_mb_mean,blk_write_mb_std,net_rx_mbps,net_tx_mbps,duration_sec
torchvision-app,robot,cpu,deeplabv3_resnet101,ptc,375.197833,70.950364,2490.241500,2.267099,1544.348000,0.000000,183.963683,0.054030,0.000000,0.000000,61.145
torchvision-app,robot,cpu,deeplabv3_resnet101,sol,383.875968,53.468708,3303.035000,13.659493,4222.672000,0.000000,187.645000,0.000000,0.000000,0.000000,61.141
torchvision-app,robot,cpu,deeplabv3_resnet50,ptc,380.946167,63.501682,2145.541500,13.070688,1311.015633,0.033541,177.604917,0.866174,0.000000,0.000000,61.155
torchvision-app,robot,cpu,deeplabv3_resnet50,sol,380.682034,63.026716,3078.935932,9.406919,4001.586000,0.000000,187.586000,0.000000,0.000000,0.000000,61.148
torchvision-app,robot,cpu,fcn_resnet101,ptc,377.250323,66.527523,2652.190645,35.154145,1722.805000,0.000000,187.082000,0.000000,0.000000,0.000000,62.171
torchvision-app,robot,cpu,fcn_resnet101,sol,377.936230,65.585974,3507.084590,23.093785,4431.125000,0.000000,187.672000,0.000000,0.000000,0.000000,62.173
torchvision-app,robot,cpu,fcn_resnet50,ptc,377.640333,56.888937,2117.500333,35.406946,1311.020000,0.000000,180.174850,0.084473,0.000000,0.000000,61.143
torchvision-app,robot,cpu,fcn_resnet50,sol,377.375410,66.033516,3082.825082,25.502835,4001.586000,0.000000,187.617000,0.000000,0.000000,0.000000,61.168
torchvision-app,robot,cpu,mc3_18,ptc,373.042542,72.377330,1797.434915,13.938844,1022.043000,0.000000,170.678051,0.065440,0.000000,0.000000,61.138
torchvision-app,robot,cpu,mc3_18,sol,369.757869,78.942423,2771.716066,7.339914,3591.891000,0.000000,187.512000,0.000000,0.000000,0.000000,62.162
torchvision-app,robot,cpu,r2plus1d_18,ptc,376.251186,52.867917,2044.333220,26.608439,1149.742000,0.000000,174.843220,0.050805,0.000000,0.000000,61.149
torchvision-app,robot,cpu,r2plus1d_18,sol,379.346167,68.225604,3035.792000,26.319829,3840.234000,0.000000,187.559000,0.000000,0.000000,0.000000,62.153
torchvision-app,robot,cpu,r3d_18,ptc,380.098644,56.090435,2029.569153,21.846070,1149.742000,0.000000,172.414966,0.242063,0.000000,0.000000,61.141
torchvision-app,robot,cpu,r3d_18,sol,379.578333,53.612702,2906.776000,8.686413,3719.527000,0.000000,187.535000,0.000000,0.000000,0.000000,61.154
torchvision-app,robot,cpu,resnet50,ptc,367.390667,87.568220,812.457667,11.977903,178.988650,0.057713,93.696200,38.985650,0.000000,0.000000,61.149
torchvision-app,robot,cpu,resnet50,sol,381.003729,65.315783,1226.229492,12.209908,2194.680000,0.000000,187.273000,0.000000,0.000000,0.000000,61.139
torchvision-app,robot,cpu,swin3d_b,ptc,358.497167,56.790175,2238.345833,23.106950,976.297000,0.000000,168.846000,0.056724,0.000000,0.000000,62.148
torchvision-app,robot,cpu,swin3d_b,sol,379.729841,57.797334,2738.550635,14.004466,3546.582000,0.000000,187.488000,0.000000,0.000000,0.000000,62.164
torchvision-app,robot,cpu,swin3d_s,ptc,356.540169,64.941301,1726.048305,9.246664,610.332000,0.000000,158.469203,0.050673,0.000000,0.000000,62.151
torchvision-app,robot,cpu,swin3d_s,sol,372.027857,69.925509,2387.565000,30.125055,3189.600179,0.010341,187.465000,0.000000,0.000000,0.000000,61.140
torchvision-app,robot,cpu,swin3d_t,ptc,344.770678,60.000928,1346.127119,11.859265,392.039000,0.000000,152.823831,1.103294,0.000000,0.000000,61.132
torchvision-app,robot,cpu,swin3d_t,sol,383.141167,53.749632,2152.354500,24.896907,2971.340000,0.000000,187.438000,0.000000,0.000000,0.000000,61.157
torchvision-app,robot,cpu,swin_s,ptc,365.005645,59.586333,1261.430806,0.112741,339.047000,0.000000,128.059871,3.281345,0.000000,0.000000,61.140
torchvision-app,robot,cpu,swin_s,sol,383.249667,59.221360,1563.985333,17.895127,2511.672000,0.000000,187.375000,0.000000,0.000000,0.000000,61.140
torchvision-app,robot,cpu,swin_t,ptc,369.172951,62.064195,1052.585246,1.964964,339.043000,0.000000,120.275607,2.417540,0.000000,0.000000,61.133
torchvision-app,robot,cpu,swin_t,sol,368.178305,87.375112,1385.399661,23.970753,2320.797000,0.000000,187.328000,0.000000,0.000000,0.000000,61.152
torchvision-app,robot,cpu,swin_v2_b,ptc,339.092542,50.550821,1423.123898,0.102858,340.008000,0.000000,144.765780,0.037061,0.000000,0.000000,61.128
torchvision-app,robot,cpu,swin_v2_b,sol,371.918333,77.097495,1919.850667,9.051401,2849.691000,0.000000,187.410000,0.000000,0.000000,0.000000,61.140
torchvision-app-agent,edge-asus,cpu,deeplabv3_resnet101,vaccel-remote-sol,308.617143,77.165650,859.098889,1.733925,0.000000,0.000000,163.411127,132.505155,19.948112,214.540187,62.134
torchvision-app-agent,edge-asus,gpu,deeplabv3_resnet101,vaccel-remote-sol,12.200952,2.603455,882.597302,12.474478,0.000000,0.000000,138.843190,116.348415,27.750072,298.526445,62.130
torchvision-app-agent,edge-asus,cpu,deeplabv3_resnet101,vaccel-remote-torch,442.596190,95.357838,1827.323175,304.461888,0.000000,0.000000,133.765889,115.615577,21.963728,133.695563,62.141
torchvision-app-agent,edge-asus,gpu,deeplabv3_resnet101,vaccel-remote-torch,12.063810,2.484703,2245.176349,579.908068,0.000000,0.000000,133.708619,115.693351,40.582298,246.690055,62.140
torchvision-app-agent,edge-asus,gpu,deeplabv3_resnet50,vaccel-remote-ptc,10.603651,2.574361,3251.797143,863.529357,0.000000,0.000000,289.578635,52.786255,17.611941,365.560792,62.171
torchvision-app-agent,edge-asus,cpu,deeplabv3_resnet50,vaccel-remote-sol,224.870476,60.336079,703.967619,1.764364,0.000000,0.000000,119.307667,96.729930,21.890752,235.250523,62.134
