Model,Setting,Total (ms),Pre (ms),Inference (ms),Post (ms)
MC3-18,Edge–GPU (SOL),132.9 ± 12.3,85.8 ± 12.1,46.6 ± 3.3,0.3 ± 0.3
R3D-18,Robot–CPU (TC),767.2 ± 28.0,65.9 ± 10.4,701.1 ± 24.3,0.1 ± 0.0
R3D-18,Robot–CPU (SOL),870.2 ± 17.3,65.5 ± 10.6,804.4 ± 18.6,0.2 ± 0.0
R3D-18,Edge–CPU (TC),199.3 ± 17.6,70.8 ± 16.6,128.1 ± 6.0,0.2 ± 0.2
R3D-18,Edge–CPU (SOL),188.6 ± 20.0,84.7 ± 18.5,103.4 ± 7.2,0.4 ± 0.3
R3D-18,Edge–GPU (TC),127.1 ± 12.8,84.0 ± 12.4,42.8 ± 2.9,0.2 ± 0.3
R3D-18,Edge–GPU (SOL),132.4 ± 12.4,85.5 ± 11.8,46.4 ± 3.3,0.3 ± 0.1
R2Plus1D-18,Robot–CPU (TC),910.5 ± 17.8,64.9 ± 9.0,845.4 ± 17.6,0.1 ± 0.0
R2Plus1D-18,Robot–CPU (SOL),945.1 ± 20.6,66.1 ± 11.7,878.7 ± 19.4,0.2 ± 0.4
R2Plus1D-18,Edge–CPU (TC),237.4 ± 22.4,73.9 ± 20.1,163.1 ± 8.3,0.2 ± 0.2
R2Plus1D-18,Edge–CPU (SOL),188.1 ± 19.4,83.4 ± 17.6,104.2 ± 7.0,0.3 ± 0.2
R2Plus1D-18,Edge–GPU (TC),132.2 ± 13.0,86.2 ± 12.5,45.6 ± 3.5,0.2 ± 0.2
R2Plus1D-18,Edge–GPU (SOL),131.9 ± 12.6,84.9 ± 12.0,46.5 ± 3.4,0.3 ± 0.3
DeepLabV3-ResNet50,Robot–CPU (TC),531.0 ± 18.6,6.6 ± 1.6,516.4 ± 18.8,8.1 ± 1.3
DeepLabV3-ResNet50,Robot–CPU (SOL),594.3 ± 25.1,6.2 ± 1.5,580.6 ± 25.1,7.5 ± 0.6
DeepLabV3-ResNet50,Edge–CPU (TC),195.0 ± 9.5,10.5 ± 4.5,170.9 ± 6.5,13.6 ± 4.4
DeepLabV3-ResNet50,Edge–CPU (SOL),255.5 ± 11.4,11.8 ± 5.0,228.3 ± 9.8,15.4 ± 3.8
DeepLabV3-ResNet50,Edge–GPU (TC),122.7 ± 7.2,17.1 ± 5.0,89.2 ± 5.0,16.4 ± 3.1
DeepLabV3-ResNet50,Edge–GPU (SOL),203.6 ± 10.2,12.4 ± 5.3,175.6 ± 8.3,15.6 ± 4.1
DeepLabV3-ResNet101,Robot–CPU (TC),831.1 ± 24.7,5.9 ± 1.0,817.4 ± 24.6,7.8 ± 0.8
DeepLabV3-ResNet101,Robot–CPU (SOL),914.9 ± 19.3,6.4 ± 1.9,900.7 ± 19.0,7.8 ± 1.0
DeepLabV3-ResNet101,Edge–CPU (TC),232.5 ± 8.9,11.9 ± 5.2,207.2 ± 5.2,13.4 ± 4.2
DeepLabV3-ResNet101,Edge–CPU (SOL),289.5 ± 10.4,12.3 ± 4.5,261.6 ± 8.7,15.5 ± 3.5
DeepLabV3-ResNet101,Edge–GPU (TC),125.1 ± 8.1,16.9 ± 5.1,92.5 ± 5.6,15.8 ± 3.5
DeepLabV3-ResNet101,Edge–GPU (SOL),207.5 ± 10.3,12.0 ± 5.3,180.0 ± 7.2,15.4 ± 3.9
FCN-ResNet50,Robot–CPU (TC),771.8 ± 23.3,6.5 ± 2.2,758.0 ± 23.0,7.3 ± 1.1
FCN-ResNet50,Robot–CPU (SOL),832.1 ± 21.1,6.3 ± 1.3,818.5 ± 21.0,7.3 ± 1.0
FCN-ResNet50,Edge–CPU (TC),180.8 ± 8.2,10.8 ± 4.3,156.4 ± 5.2,13.6 ± 4.2
FCN-ResNet50,Edge–CPU (SOL),271.2 ± 11.2,13.1 ± 5.8,243.2 ± 8.2,14.9 ± 3.8
FCN-ResNet50,Edge–GPU (TC),121.3 ± 8.1,15.6 ± 5.2,89.5 ± 5.4,16.3 ± 3.0
FCN-ResNet50,Edge–GPU (SOL),206.8 ± 11.8,15.5 ± 5.9,175.9 ± 8.5,15.4 ± 4.0
FCN-ResNet101,Robot–CPU (TC),1067.9 ± 27.6,6.3 ± 2.1,1054.4 ± 27.5,7.2 ± 1.1
FCN-ResNet101,Robot–CPU (SOL),1150.3 ± 43.6,6.6 ± 2.4,1136.5 ± 43.3,7.1 ± 0.9
FCN-ResNet101,Edge–CPU (TC),218.5 ± 10.6,11.8 ± 5.1,192.2 ± 6.6,14.5 ± 4.8
FCN-ResNet101,Edge–CPU (SOL),305.5 ± 18.5,12.6 ± 5.4,277.9 ± 17.5,15.0 ± 3.8
FCN-ResNet101,Edge–GPU (TC),122.1 ± 7.3,15.1 ± 4.7,90.5 ± 5.0,16.4 ± 3.3
FCN-ResNet101,Edge–GPU (SOL),204.1 ± 10.0,11.7 ± 4.7,177.3 ± 7.2,15.1 ± 3.9
