container,host,device,model,backend,cpu_percent_mean,cpu_percent_std,mem_mb_mean,mem_mb_std,blk_read_mb_mean,blk_read_mb_std,blk_write_mb_mean,blk_write_mb_std,net_rx_mbps,net_tx_mbps,duration_sec
torchvision-app,edge-asus,cpu,deeplabv3_resnet101,ptc,974.990577,143.910034,894.486923,0.090310,4.672000,0.000000,176.926769,1.630342,0.000000,0.000156,51.122
torchvision-app,edge-asus,gpu,deeplabv3_resnet101,ptc,611.807778,301.066696,3089.434444,3.128827,868.512000,0.000000,326.122556,0.019540,0.000000,0.000998,8.018
torchvision-app,edge-asus,cpu,deeplabv3_resnet101,sol,962.597241,184.222671,1471.553793,18.872258,1013.164000,0.000000,182.151448,0.023907,0.000000,0.000000,57.135
torchvision-app,edge-asus,gpu,deeplabv3_resnet101,sol,402.301765,116.479673,1872.384706,3.647018,868.820000,0.000000,338.891000,0.000000,0.000000,0.000499,16.034
torchvision-app,edge-asus,cpu,deeplabv3_resnet101,stock,980.331324,127.871373,575.844118,0.431200,4.500000,0.000000,0.400103,0.022097,0.000119,0.000119,67.160
torchvision-app,edge-asus,gpu,deeplabv3_resnet101,stock,623.893333,248.903396,1793.002222,1.665391,868.469000,0.000000,0.352000,0.000000,0.000000,0.000000,8.016
torchvision-app,edge-asus,cpu,deeplabv3_resnet50,ptc,942.748649,227.607778,740.939189,13.445114,4.672000,0.000000,171.741703,0.877859,0.000000,0.000000,36.083
torchvision-app,edge-asus,gpu,deeplabv3_resnet50,ptc,680.933750,356.624438,3157.411250,2.504743,868.512000,0.000000,311.921500,0.005809,0.000000,0.000000,7.017
torchvision-app,edge-asus,cpu,deeplabv3_resnet50,sol,967.896667,162.704675,1376.923077,17.846959,918.086000,0.000000,182.048231,0.008648,0.000000,0.000000,38.081
torchvision-app,edge-asus,gpu,deeplabv3_resnet50,sol,473.098462,154.732028,1869.170769,0.568986,868.797000,0.000000,338.832000,0.000000,0.000000,0.000000,12.026
torchvision-app,edge-asus,cpu,deeplabv3_resnet50,stock,958.168800,197.400886,464.093000,1.250954,4.500000,0.000000,0.297000,0.008764,0.000163,0.000000,49.130
torchvision-app,edge-asus,gpu,deeplabv3_resnet50,stock,680.767500,306.054810,1528.418750,5.190545,635.168000,0.000000,0.293000,0.000000,0.000000,0.000000,7.013
torchvision-app,edge-asus,cpu,fcn_resnet101,ptc,959.633158,172.557600,851.061579,15.349385,4.672000,0.000000,180.262404,1.522812,0.000000,0.000143,56.138
torchvision-app,edge-asus,gpu,fcn_resnet101,ptc,629.248889,339.827681,3063.850000,1.855191,868.512000,0.000000,332.354444,0.019540,0.000000,0.000998,8.020
torchvision-app,edge-asus,cpu,fcn_resnet101,sol,960.880645,140.538700,1483.780000,36.614052,1013.188000,0.000000,182.207516,0.023478,0.000000,0.000131,61.142
torchvision-app,edge-asus,gpu,fcn_resnet101,sol,414.476875,133.415816,1736.045000,1.259132,868.820000,0.000000,338.938000,0.000000,0.000000,0.000000,15.031
