host,model,backend,device,cpu_watts_mean,cpu_watts_std,cpu_util_percent_mean,cpu_util_percent_std,cpu_temp_c_mean,cpu_temp_c_std,duration_sec,num_samples,cpu_energy_j,cpu_energy_j_total
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-cpu,44.472365,8.028128,17.987552,3.661271,65.414938,7.571651,240.042,241,10675.235,10731.291
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-cpu,46.295934,8.119731,19.768050,3.885618,64.385892,8.626677,240.043,241,11113.015,11172.708
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-cpu,33.523817,5.677405,14.146473,2.867531,58.701245,5.565338,240.040,241,8047.057,8093.797
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-cpu,36.829087,6.548532,15.466390,3.184843,59.950207,6.452959,240.042,241,8840.528,8887.465
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-cpu,46.181826,8.138678,17.572199,3.412075,64.966805,6.604329,240.044,241,11085.670,11143.414
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-cpu,50.957054,7.720144,18.665975,3.126583,66.813278,8.173075,240.051,241,12232.292,12294.305
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-cpu,35.086556,5.974589,14.623651,2.914462,61.373444,7.067073,240.042,241,8422.247,8460.374
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-cpu,37.732614,6.516244,16.141909,3.210710,60.825726,7.335097,240.041,241,9057.374,9110.085
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-cpu,41.155394,7.410311,17.716598,3.642826,61.103734,7.415473,240.044,241,9879.105,9931.950
edge-asus,r2plus1d_18,vaccel-remote-sol,edge-asus-cpu,42.066349,7.394217,18.057261,3.557955,61.883817,6.864046,240.044,241,10097.775,10158.362
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-cpu,38.228672,6.744821,16.115353,3.310698,60.145228,6.880702,240.045,241,9176.602,9233.612
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-cpu,39.521577,6.928388,16.303734,3.259169,61.132780,8.106079,240.045,241,9486.957,9541.109
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-cpu,17.953402,2.707185,9.134855,1.916977,48.232365,2.672270,240.044,241,4309.607,4333.713
edge-asus,resnet50,vaccel-remote-sol,edge-asus-cpu,20.253693,3.048757,10.652282,2.133551,53.340249,2.776681,240.042,241,4861.737,4888.796
edge-asus,swin3d_b,vaccel-remote-ptc,edge-asus-cpu,50.202863,8.940821,19.766805,3.863412,63.547718,6.848600,240.047,241,12051.047,12117.917
edge-asus,swin3d_b,vaccel-remote-sol,edge-asus-cpu,49.680000,9.189505,19.336515,3.897291,66.132780,6.955028,240.045,241,11925.436,12005.892
edge-asus,swin3d_s,vaccel-remote-ptc,edge-asus-cpu,37.093112,6.906306,15.948548,3.317639,58.170124,6.389834,240.047,241,8904.090,8951.597
edge-asus,swin3d_s,vaccel-remote-sol,edge-asus-cpu,39.100788,7.014702,15.993776,3.217613,61.136929,5.968271,240.046,241,9385.988,9440.657
edge-asus,swin_s,vaccel-remote-ptc,edge-asus-cpu,41.694730,7.572579,17.236929,3.386930,60.958506,5.375365,240.044,241,10008.570,10060.016
edge-asus,swin_s,vaccel-remote-sol,edge-asus-cpu,41.140332,7.708338,17.412033,3.550557,61.307054,5.986596,240.041,241,9875.366,9927.509
edge-asus,swin_t,vaccel-remote-ptc,edge-asus-cpu,22.895851,3.907064,10.900000,2.259200,52.672199,3.622832,240.042,241,5495.966,5526.100
edge-asus,swin_t,vaccel-remote-sol,edge-asus-cpu,24.138340,3.967025,11.295436,2.260508,53.257261,4.414259,240.042,241,5794.215,5825.458
edge-asus,swin_v2_b,vaccel-remote-ptc,edge-asus-cpu,49.643485,9.464393,21.173444,4.249330,64.601660,7.057488,240.041,241,11916.472,11980.372
edge-asus,swin_v2_b,vaccel-remote-sol,edge-asus-cpu,59.052033,10.911956,23.959336,4.701629,70.045643,8.600516,240.042,241,14174.968,14249.026
robot,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-cpu,1.829046,0.215842,26.381328,5.302832,59.165975,1.980571,240.061,241,439.083,441.516
