host,model,backend,device,net_rx_mbps_mean,net_rx_mbps_std,net_tx_mbps_mean,net_tx_mbps_std,duration_sec,num_samples
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-cpu,3.449470,0.723609,21.118065,4.314978,180.031,181
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,5.896073,1.120968,36.069109,6.833539,180.034,181
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-cpu,3.450359,0.663390,21.063303,4.090292,180.033,181
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,5.805667,1.310442,35.495372,7.946006,180.033,181
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-cpu,4.173481,0.795384,25.511926,4.873835,180.031,181
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,5.808949,1.129860,35.486910,6.922168,180.033,181
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-cpu,4.210469,0.810811,25.768467,4.863341,180.031,181
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,6.014122,1.151979,36.754376,7.128642,180.032,181
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-cpu,3.339570,0.637626,20.490388,3.891441,180.031,181
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,5.873329,1.086377,35.860293,6.615469,180.033,181
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-cpu,3.317493,0.619690,20.351177,3.686017,180.038,181
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,5.867204,1.101424,35.882262,6.776294,180.032,181
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-cpu,3.947233,0.751397,24.214479,4.613348,180.031,181
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,6.139761,1.270855,37.479179,7.772955,180.033,181
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-cpu,3.938397,0.728769,24.136410,4.397987,180.030,181
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,5.924271,1.141046,36.245191,6.966100,180.033,181
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-cpu,10.364515,2.087615,0.029728,0.005472,180.034,181
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-gpu,16.428725,3.541335,0.045652,0.009670,180.035,181
edge-asus,r2plus1d_18,vaccel-remote-sol,edge-asus-cpu,9.443494,1.811532,0.027725,0.005030,180.034,181
edge-asus,r2plus1d_18,vaccel-remote-sol,edge-asus-gpu,16.427785,3.131856,0.045974,0.008484,180.036,181
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-cpu,11.266916,2.237710,0.032264,0.006984,180.034,181
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-gpu,16.800466,3.315574,0.047202,0.009630,180.035,181
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-cpu,11.147660,2.472593,0.031859,0.006864,180.034,181
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-gpu,16.601773,3.719140,0.046965,0.010827,180.036,181
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-cpu,8.310172,1.492987,0.072791,0.012983,180.033,181
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-gpu,8.482873,2.030789,0.074083,0.017814,180.036,181
edge-asus,resnet50,vaccel-remote-sol,edge-asus-cpu,8.265009,1.542844,0.073781,0.014183,180.033,181
edge-asus,resnet50,vaccel-remote-sol,edge-asus-gpu,8.377397,2.167043,0.073058,0.018814,180.036,181
