host,model,backend,device,gpu_count,gpu_names,power_draw_w_mean,power_draw_w_std,util_gpu_percent_mean,util_gpu_percent_std,util_mem_percent_mean,util_mem_percent_std,mem_used_mb_mean,mem_used_mb_std,temp_c_mean,temp_c_std,duration_sec,num_samples,gpu_energy_j
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.648564,1.342393,5.237569,1.842987,0.878453,0.326762,1206.120000,0.000000,43.834254,0.790229,180.034,181,4257.545
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.795525,2.080109,5.497238,2.221503,0.850829,0.356257,1170.120000,0.000000,42.950276,1.642920,180.033,181,4644.046
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.082597,0.937079,3.337017,1.434465,0.834254,0.371852,1134.120000,0.000000,41.149171,1.435486,180.033,181,3795.563
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.823702,1.260634,4.038674,1.629713,0.845304,0.361615,1070.120000,0.000000,40.314917,1.855334,180.032,181,4108.997
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.871768,1.206003,4.022099,1.868482,0.828729,0.376745,1214.120000,0.000000,42.629834,1.386993,180.033,181,4117.673
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.025691,1.615505,5.127072,2.002867,0.861878,0.360685,1160.120000,0.000000,43.845304,1.522698,180.032,181,4505.425
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.467901,0.885322,2.729282,0.865977,0.917127,0.275690,1142.120000,0.000000,39.524862,1.791845,180.033,181,3684.898
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.142044,1.118176,3.408840,1.378096,0.850829,0.356257,1062.120000,0.000000,43.751381,0.593762,180.033,181,3986.299
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.419006,1.520685,4.220994,2.705795,2.000000,1.321309,1214.120000,0.000000,40.093923,1.201756,180.035,181,4216.241
edge-asus,r2plus1d_18,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.640994,1.567969,4.044199,2.845610,1.314917,0.937405,1086.120000,0.000000,41.740331,0.723694,180.036,181,4436.266
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.638343,1.044474,3.187845,1.767749,1.414365,0.853730,1174.120000,0.000000,40.193370,0.848242,180.035,181,3895.659
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.545083,1.148562,2.900552,1.787325,0.718232,0.449861,1056.120000,0.000000,40.591160,0.799675,180.036,181,3878.891
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.057238,0.694557,1.878453,1.090709,0.469613,0.520746,1120.120000,0.000000,37.889503,0.840251,180.036,181,3430.989
edge-asus,resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.131602,1.275579,4.287293,1.843401,0.453039,0.497790,970.120000,0.000000,39.110497,0.915761,180.036,181,3804.449
edge-asus,swin3d_b,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,29.119171,2.508978,6.856354,4.186446,1.458564,0.876139,1466.120000,0.000000,40.839779,1.772026,180.035,181,5242.470
edge-asus,swin3d_b,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,28.378840,2.202328,6.325967,3.942801,2.740331,1.738094,1384.120000,0.000000,43.099448,1.067371,180.036,181,5109.213
edge-asus,swin3d_s,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.711657,1.772512,5.259669,3.562229,0.696133,0.471786,1296.120000,0.000000,41.198895,1.191220,180.035,181,4628.998
edge-asus,swin3d_s,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.435304,1.763110,4.707182,3.186193,1.723757,1.239738,1270.120000,0.000000,40.651934,1.272471,180.035,181,4579.245
