host,model,backend,device,net_rx_mbps_mean,net_rx_mbps_std,net_tx_mbps_mean,net_tx_mbps_std,duration_sec,num_samples
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-cpu,3.384234,0.566324,20.683410,3.554498,240.040,241
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,5.634410,1.113687,34.378834,6.790937,240.046,241
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-cpu,3.399801,0.631848,20.842264,3.914024,240.042,241
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,5.635413,0.988151,34.515055,6.039965,240.043,241
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-cpu,4.006825,0.841032,24.586776,5.171980,240.043,241
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,5.825069,1.209742,35.539345,7.408486,240.046,241
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-cpu,4.078249,0.816690,25.010560,4.928934,240.043,241
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,5.470141,1.126957,33.412130,6.899193,240.040,241
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-cpu,3.256311,0.671988,19.942167,4.115416,240.042,241
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,5.833502,1.124770,35.709860,6.862053,240.038,241
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-cpu,3.233457,0.574308,19.836371,3.505982,240.050,241
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,5.613498,1.137696,34.360088,6.947855,240.038,241
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-cpu,3.798399,0.789390,23.296298,4.789460,240.040,241
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,5.623912,1.122609,34.317245,6.908493,240.040,241
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-cpu,3.765536,0.770111,23.051047,4.625033,240.041,241
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,5.786934,1.162752,35.377204,7.125554,240.045,241
robot,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-cpu,20.583623,3.513248,3.384010,0.570025,240.058,241
robot,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,34.170972,6.775606,5.634163,1.125298,240.089,241
robot,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-cpu,20.687355,3.862378,3.399564,0.632257,240.061,241
robot,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,34.219356,5.933074,5.635163,0.997498,240.066,241
robot,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-cpu,24.374649,5.076004,4.006680,0.840819,240.073,241
robot,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,35.290601,7.294738,5.824840,1.216949,240.077,241
robot,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-cpu,24.812642,4.856889,4.078167,0.819081,240.072,241
robot,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,33.201287,6.789091,5.470002,1.133182,240.088,241
robot,fcn_resnet101,vaccel-remote-ptc,edge-asus-cpu,19.805989,4.085753,3.256101,0.674468,240.062,241
robot,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,35.394646,6.792090,5.833290,1.131842,240.085,241
robot,fcn_resnet101,vaccel-remote-sol,edge-asus-cpu,19.667822,3.448116,3.233219,0.579112,240.052,241
robot,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,34.099735,6.849752,5.615776,1.128413,240.094,241
robot,fcn_resnet50,vaccel-remote-ptc,edge-asus-cpu,23.124334,4.759894,3.798175,0.787358,240.072,241
robot,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,34.115642,6.779862,5.623879,1.131447,240.088,241
robot,fcn_resnet50,vaccel-remote-sol,edge-asus-cpu,22.899513,4.604414,3.765308,0.766861,240.069,241
robot,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,35.112592,7.049135,5.786786,1.166939,240.077,241
