host,model,backend,device,gpu_count,gpu_names,power_draw_w_mean,power_draw_w_std,util_gpu_percent_mean,util_gpu_percent_std,util_mem_percent_mean,util_mem_percent_std,mem_used_mb_mean,mem_used_mb_std,temp_c_mean,temp_c_std,duration_sec,num_samples,gpu_energy_j,gpu_energy_j_total
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.373776,1.419237,5.012448,2.060257,0.842324,0.364437,1206.120000,0.000000,41.419087,1.933191,240.043,241,5610.711,5627.736
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.298382,1.800424,4.941909,2.495795,0.767635,0.422341,1170.120000,0.000000,43.427386,1.783953,240.044,241,6072.725,6109.560
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.177054,1.011255,3.560166,1.179664,0.887967,0.315407,1134.120000,0.000000,40.630705,1.596330,240.044,241,5083.425,5083.518
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.449087,1.201131,3.721992,1.573079,0.834025,0.372058,1070.120000,0.000000,41.244813,1.795055,240.044,241,5388.769,5395.475
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.565270,1.282267,4.311203,1.569496,0.867220,0.339337,1214.193320,0.092493,41.195021,1.942999,240.044,241,5416.658,5425.566
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.765685,1.678788,5.145228,1.970653,0.858921,0.348103,1160.120000,0.000000,42.697095,1.984262,240.037,241,5944.681,5965.616
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.413776,0.826367,2.560166,1.025358,0.858921,0.348103,1145.131452,2.876998,41.468880,1.417169,240.044,241,4900.204,4890.955
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.036307,1.140802,3.294606,1.469020,0.796680,0.402468,1062.120000,0.000000,43.058091,1.287003,240.043,241,5289.661,5282.940
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.351784,1.377584,4.365145,2.638580,2.062241,1.285196,1214.120000,0.000000,40.029046,1.240393,240.046,241,5605.502,5617.619
edge-asus,r2plus1d_18,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.671203,1.632756,4.327801,2.730726,1.385892,0.895151,1086.120000,0.000000,41.717842,0.944109,240.047,241,5922.248,5934.961
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.467344,1.077485,3.024896,1.742620,1.327801,0.857246,1174.120000,0.000000,39.195021,1.111677,240.046,241,5153.150,5143.488
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.834689,1.117608,2.933610,1.918395,0.688797,0.462986,1056.120000,0.000000,40.838174,0.571410,240.048,241,5241.373,5234.299
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.105726,0.738963,1.887967,1.170124,0.460581,0.538461,1121.554025,2.490694,38.780083,0.424090,240.048,241,4586.291,4580.124
edge-asus,resnet50,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.182531,1.191418,4.248963,1.843529,0.427386,0.494699,970.120000,0.000000,39.983402,0.637466,240.048,241,5084.824,5073.998
edge-asus,swin3d_b,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,28.927593,2.425206,6.892116,4.082751,1.456432,0.849194,1466.120000,0.000000,41.091286,1.923853,240.048,241,6944.011,6982.732
edge-asus,swin3d_b,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,28.058382,2.309892,6.087137,4.050086,2.008299,1.354236,1384.120000,0.000000,41.037344,1.869901,240.047,241,6735.330,6795.125
edge-asus,swin3d_s,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.695851,1.887983,5.746888,3.386304,0.742739,0.437125,1300.852282,2.205323,40.551867,1.841884,240.047,241,6168.212,6199.878
edge-asus,swin3d_s,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,25.422282,1.851584,4.634855,3.250195,1.294606,0.924725,1270.120000,0.000000,40.352697,1.464689,240.047,241,6102.543,6134.963
edge-asus,swin_s,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.467386,1.867732,5.668050,2.481002,0.987552,0.265301,1198.120000,0.000000,39.539419,1.451677,240.049,241,5873.372,5889.488
edge-asus,swin_s,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.307842,1.685862,5.800830,2.458316,0.962656,0.210353,1142.120000,0.000000,40.190871,1.349996,240.045,241,5834.976,5806.947
edge-asus,swin_t,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.662241,1.124397,2.817427,1.145018,0.439834,0.496367,1118.120000,0.000000,38.385892,1.008495,240.048,241,4959.930,4941.123
edge-asus,swin_t,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.364108,1.048333,2.991701,1.513403,0.443983,0.496852,1014.120000,0.000000,38.908714,0.993739,240.048,241,4888.363,4878.382
edge-asus,swin_v2_b,vaccel-remote-ptc,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,29.443693,2.671894,7.958506,3.101054,1.082988,0.398859,1368.120000,0.000000,40.630705,1.962441,240.048,241,7067.900,7061.798
edge-asus,swin_v2_b,vaccel-remote-sol,edge-asus-gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,28.800664,2.569453,9.560166,3.868898,1.435685,0.628682,1240.120000,0.000000,44.867220,0.782991,240.044,241,6913.427,6897.520
