timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c,gpu_energy_j_cumulative
1784823230087,2026-07-23T16:13:50.087060+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.96,80.0,13,2,1240.12,45,1167.863
1784823231087,2026-07-23T16:13:51.087269+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.76,80.0,9,2,1240.12,44,1195.901
1784823232087,2026-07-23T16:13:52.087460+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.68,80.0,7,1,1240.12,44,1225.937
1784823233087,2026-07-23T16:13:53.087632+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,30.13,80.0,13,2,1240.12,45,1254.495
1784823234087,2026-07-23T16:13:54.087845+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.02,80.0,14,2,1240.12,44,1283.686
1784823235088,2026-07-23T16:13:55.088069+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.09,80.0,7,1,1240.12,44,1312.601
1784823236088,2026-07-23T16:13:56.088289+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,26.09,80.0,14,2,1240.12,44,1335.267
1784823237088,2026-07-23T16:13:57.088490+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.67,80.0,0,0,1240.12,43,1351.712
1784823238088,2026-07-23T16:13:58.088688+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.56,80.0,0,0,1240.12,43,1368.127
1784823239088,2026-07-23T16:13:59.088788+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,25.02,80.0,0,0,1240.12,44,1397.934
1784823240088,2026-07-23T16:14:00.088985+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,37.56,80.0,17,3,1240.12,47,1436.072
1784823241089,2026-07-23T16:14:01.089209+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,32.0,80.0,7,1,1240.12,44,1465.189
1784823242089,2026-07-23T16:14:02.089479+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.98,80.0,7,1,1240.12,44,1494.093
1784823243089,2026-07-23T16:14:03.089690+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.54,80.0,14,2,1240.12,45,1523.096
1784823244089,2026-07-23T16:14:04.089893+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.95,80.0,8,1,1240.12,44,1550.268
1784823245090,2026-07-23T16:14:05.090082+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.71,80.0,7,1,1240.12,44,1578.143
1784823246090,2026-07-23T16:14:06.090231+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.5,80.0,9,1,1240.12,45,1607.956
1784823247090,2026-07-23T16:14:07.090428+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.08,80.0,13,2,1240.12,45,1637.152
1784823248090,2026-07-23T16:14:08.090620+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.79,80.0,7,1,1240.12,44,1665.007
1784823249090,2026-07-23T16:14:09.090823+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.8,80.0,7,1,1240.12,44,1694.803
1784823250091,2026-07-23T16:14:10.091000+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.67,80.0,14,2,1240.12,45,1723.896
