timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c,gpu_energy_j_cumulative
1784843852715,2026-07-23T21:57:32.715410+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.81,80.0,0,0,1214.12,36,16.141
1784843853715,2026-07-23T21:57:33.715562+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,19.43,80.0,5,1,1214.12,37,36.361
1784843854715,2026-07-23T21:57:34.715710+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.63,80.0,5,1,1214.12,37,58.879
1784843855715,2026-07-23T21:57:35.715859+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.41,80.0,5,1,1214.12,37,81.474
1784843856715,2026-07-23T21:57:36.715936+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.28,80.0,5,1,1214.12,38,103.753
1784843857716,2026-07-23T21:57:37.716105+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.74,80.0,0,0,1214.12,37,126.166
1784843858716,2026-07-23T21:57:38.716185+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.3,80.0,2,0,1214.12,38,147.562
1784843859716,2026-07-23T21:57:39.716336+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.3,80.0,1,0,1214.12,38,169.504
1784843860716,2026-07-23T21:57:40.716530+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.65,80.0,5,1,1214.12,37,192.585
1784843861716,2026-07-23T21:57:41.716737+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.73,80.0,5,1,1214.12,38,215.524
1784843862716,2026-07-23T21:57:42.716965+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.66,80.0,3,1,1214.12,37,238.003
1784843863717,2026-07-23T21:57:43.717165+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.12,80.0,5,1,1214.12,37,257.012
1784843864717,2026-07-23T21:57:44.717361+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.23,80.0,0,0,1214.12,37,273.115
1784843865717,2026-07-23T21:57:45.717555+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.25,80.0,0,0,1214.12,37,289.213
1784843866717,2026-07-23T21:57:46.717773+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.18,80.0,5,1,1214.12,37,309.952
