timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c,gpu_energy_j_cumulative
1784837181974,2026-07-23T20:06:21.974729+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,18.0,80.0,0,0,1368.12,35,19.885
1784837182974,2026-07-23T20:06:22.974945+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.11,80.0,12,2,1368.12,35,46.235
1784837183975,2026-07-23T20:06:23.975147+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.24,80.0,6,1,1368.12,36,75.101
1784837184975,2026-07-23T20:06:24.975343+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.27,80.0,6,1,1368.12,36,103.743
1784837185975,2026-07-23T20:06:25.975548+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.68,80.0,11,1,1368.12,36,134.271
1784837186975,2026-07-23T20:06:26.975764+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.59,80.0,10,1,1368.12,36,164.302
1784837187975,2026-07-23T20:06:27.975911+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.47,80.0,5,1,1368.12,38,193.371
1784837188976,2026-07-23T20:06:28.976117+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.95,80.0,9,1,1368.12,36,223.003
1784837189976,2026-07-23T20:06:29.976309+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.36,80.0,11,1,1368.12,36,251.501
1784837190976,2026-07-23T20:06:30.976507+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.06,80.0,6,1,1368.12,36,280.814
1784837191976,2026-07-23T20:06:31.976631+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.94,80.0,6,1,1368.12,37,308.654
1784837192976,2026-07-23T20:06:32.976798+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.8,80.0,9,1,1368.12,37,338.26
1784837193977,2026-07-23T20:06:33.977000+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,30.13,80.0,11,1,1368.12,37,368.669
1784837194977,2026-07-23T20:06:34.977209+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.78,80.0,6,1,1368.12,38,397.177
