timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c,gpu_energy_j_cumulative
1784793180830,2026-07-23T07:53:00.830708+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,8.11,80.0,0,0,622.06,34,310.801
1784793181830,2026-07-23T07:53:01.830874+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.64,80.0,0,0,622.06,34,320.277
1784793182831,2026-07-23T07:53:02.831069+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.64,80.0,0,0,622.06,34,327.646
1784793183831,2026-07-23T07:53:03.831140+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.15,80.0,0,0,622.06,34,334.774
1784793184831,2026-07-23T07:53:04.831364+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.14,80.0,0,1,622.06,34,341.85
1784793185831,2026-07-23T07:53:05.831555+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.09,80.0,0,0,622.06,34,348.948
1784793186831,2026-07-23T07:53:06.831746+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.11,80.0,0,0,622.06,34,356.017
1784793187831,2026-07-23T07:53:07.831948+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.1,80.0,0,0,622.06,34,363.126
1784793188832,2026-07-23T07:53:08.832183+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.94,80.0,0,0,622.06,34,371.839
1784793189832,2026-07-23T07:53:09.832393+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,9.13,80.0,0,0,622.06,34,379.526
1784793190832,2026-07-23T07:53:10.832613+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.29,80.0,0,0,622.06,34,386.598
1784793191832,2026-07-23T07:53:11.832686+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.18,80.0,0,0,622.06,34,393.648
1784793192832,2026-07-23T07:53:12.832900+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.11,80.0,0,0,622.06,34,400.731
1784793193833,2026-07-23T07:53:13.833107+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.09,80.0,0,0,622.06,34,407.741
1784793194833,2026-07-23T07:53:14.833301+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.07,80.0,0,0,622.06,34,414.801
1784793195833,2026-07-23T07:53:15.833494+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.71,80.0,0,0,622.06,34,423.099
1784793196833,2026-07-23T07:53:16.833708+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,8.94,80.0,0,0,622.06,34,431.166
1784793197833,2026-07-23T07:53:17.833872+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.17,80.0,0,0,622.06,34,438.236
1784793198834,2026-07-23T07:53:18.834068+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.13,80.0,0,0,622.06,34,445.293
1784793199834,2026-07-23T07:53:19.834278+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.11,80.0,0,0,622.06,34,452.382
1784793200834,2026-07-23T07:53:20.834478+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.1,80.0,0,0,622.06,34,459.448
1784793201834,2026-07-23T07:53:21.834653+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.09,80.0,0,0,622.06,34,466.516
1784793202834,2026-07-23T07:53:22.834849+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,7.63,80.0,0,0,622.06,34,474.473
